review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,-2,europe_pmc_PMC12728184,PMC12728184,41310349,10.1038/s41467-025-66390-8,Loss of vegetation functions during the Paleocene-Eocene Thermal Maximum.,2025-11-27,,Rogger J; Korasidis VA; Bowen GJ; Shields CA; Gerya TV; Pellissier L,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,The Paleocene-Eocene Thermal Maximum (PETM) around 56 million years ago was a 5-6°C global warming event that lasted for approximately 200 kyr. A warming-induced loss and a 70-100 kyr lagged recovery ...,
review,-2,europe_pmc_PMC12780301,PMC12780301,41388618,10.1111/nph.70836,Engineering plant stress responses to combat climate change.,2025-12-12,,Jones MA,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,,
review,-2,europe_pmc_PMC13010128,PMC13010128,41883795,10.3389/fmicb.2026.1710071,"Harnessing endophytic fungi for sustainable agriculture: ecological roles, mechanisms, and future prospects.",2026-03-09,,Du C; Chen Q; Cui D; Zahid Mumtaz M; Chang Y; Yang N; Wang L; Gao J; Feng W; Zhu J,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,Endophytic fungi are asymptomatic microorganisms that inhabit plant tissues and play pivotal roles in regulating crop growth under field conditions. This review first provides an overview of their tax...,
review,-2,europe_pmc_PMC13061935,PMC13061935,41946817,10.1038/s41598-026-47606-3,Modeling of fractional order DPG model insight global warming and pollution effect on desertification for control mechanism.,2026-04-07,,Farman M; Jamil K; Jamil S; Padder A; Ahmad H; Dehingia K; Bayram M,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,"This study presents a novel fractional-order mathematical model that investigates the dynamic interplay between dust pollutants, plant biomass, and global warming, referred to as the DPG system. This ...",
review,-2,europe_pmc_PMC13076769,PMC13076769,41781501,10.1038/s41598-026-41640-x,The Arctic vegetation is more sensitive to heatwave-induced photosynthetic decline than other climate zones in Europe (2009-2017).,2026-03-04,,Hwang YS; Schlüter S; Park H; Um JS,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,This study shows that the photosynthesis of Arctic terrestrial plants is more vulnerable and sensitive to heatwaves’ impacts than plants in other European climate zones. The results of this study indi...,
review,-2,europe_pmc_PMC13118505,PMC13118505,42075752,10.3390/pathogens15040425,Climate Change Impacts on Plant-Parasitic Nematodes in Agroecosystems.,2026-04-14,,Bozbuğa R; Ulaş F; Urtekin Ö; Aasim M; İmren M; Lahlali R; Ali MA; Mokrini F; Dababat A,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,"Climate change significantly impacts agricultural ecosystems through rising temperatures, changing precipitation patterns, increasing atmospheric CO<sub>2</sub> levels, and more frequent extreme weath...",
review,-2,europe_pmc_PMC13121153,PMC13121153,42058857,10.3389/fpls.2026.1837360,"Editorial: Integrative biophysical models to uncover fundamental processes in plant growth, development, and physiology.",2026-04-14,,Mohanty B; Dreyer I,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,,
review,-2,europe_pmc_PMC13161122,PMC13161122,42131577,10.3389/ffunb.2026.1852814,Editorial: Fungal-plant interactions in a changing environment: from mutualism to pathogenesis.,2026-04-28,,Das S; Basu A; Angelini P; Sarkar S,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,,
review,-2,europe_pmc_PMC13170800,PMC13170800,42018483,10.1093/femsec/fiag044,A systematic review on soil microbial shifts under drought stress: a climate-smart agriculture perspective.,2026-04-01,,Ramatsitsi N; Manyevere A,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,Major shifts in temperature and rainfall patterns resulting from climate change are projected to continue increasing intensely over the course of the century. Ecosystems' functionality and well-being ...,
review,-2,europe_pmc_PMC13173881,PMC13173881,41957573,10.1186/s12870-026-08704-6,Broccoli plants exposed to the combined threat of climate change and bacterial infection.,2026-04-09,,Pérez-Bueno ML; Barón M; Pineda M,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,"BACKGROUND: Climate change is expected to intensify plant diseases by altering both host physiology and pathogen behaviour, posing a growing risk to global food security. Brassica crops such as brocco...",
review,-2,europe_pmc_PMC13199339,PMC13199339,42199228,10.3389/fpls.2026.1819890,Application of crop growth models in crop yield assessment.,2026-05-11,,Ye Z; Liao L; Qiu G; Xiao Y; Huang D; Duan Z; Pu S; Wen J,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,"Global food security is facing formidable challenges due to rising temperatures, frequent extreme weather events, growing water scarcity, cropland reduction, fluctuations in international food trade, ...",
review,-2,europe_pmc_PMC13208227,PMC13208227,42195298,10.3390/life16050742,Editorial Closing: Plant Biotic and Abiotic Stresses Special Issue.,2026-04-29,,Pizzio GA,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,"In the current Anthropocene era, the exacerbation of climate volatility has transcended mere academic concern to become an existential threat to global food security [...].",
review,-2,europe_pmc_PMC13210694,PMC13210694,42197567,10.3390/plants15101432,"Global Warming and Dispersal Limitations Drive the Suitable Habitat Distribution of &lt;i&gt;Castanopsis indica&lt;/i&gt;, &lt;i&gt;Castanopsis hystrix&lt;/i&gt;, &lt;i&gt;Schima wallichii&lt;/i&gt; Forest in China.",2026-05-08,,Zhang H; Bian Z; Ji X; Wang Z; Liu Z,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,"Global warming has increasingly threatened the suitable habitats of many species. However, ignoring dispersal limitations can substantially increase the uncertainty of species distribution predictions...",
review,-2,europe_pmc_PMC13211235,PMC13211235,42197718,10.3390/plants15101586,"Climate-Driven Redistribution of Early-Spring Ephemeral Plant Communities in Cold Arid Deserts: Evidence from the Gurbantunggut Desert, China.",2026-05-21,,Xue Y; Ma J; Ma S; Chen Y; Sun X; Ren M; Shen L,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,Early-spring ephemeral plants act as pioneer species on stabilized dunes in cold arid deserts; they are capable of rapid growth under extreme drought and low-temperature conditions while sustaining du...,
review,-2,europe_pmc_PMC13211264,PMC13211264,42197609,10.3390/plants15101476,Applications of Gene-Editing Technologies in Enhancing Crop Stress Resistance with Emphasis on Rice.,2026-05-12,,Sun M; Ghouri F; Waqas M; Ali A; Nadeem MA; Wu G; Baloch FS; Shahid MQ,True,False,climate_change_plant_growth,"(""climate change"" OR ""global warming"" OR ""climatic change"") AND (""plant growth"" OR ""plant development"" OR ""crop growth"" OR plants OR vegetation OR photosynthesis)",,,,"Gene-editing technology provides innovative strategies for coping with crop stress, enhancing resistance to biotic stresses (fungal, bacterial, viral infections) and abiotic stresses (salinity, drough...",
