keyword,count
climate change,849
climate anxiety,689
anxiety,337
mental health,332
youth,190
nursing students,190
depression,168
climate change anxiety,160
children,155
women,130
psychological distress,100
hope,96
students,95
gender,90
Climate anxiety,82
CCA,81
stress,81
young people,78
age,76
CCARPD,75
emotional responses,71
young adults,69
climate crisis,67
depressive symptoms,64
extreme weather events,60
ecological footprint awareness,58
CCAS,57
adolescents,56
climate change awareness,55
climate action,54
Iraq,45
wellbeing,43
environmental health literacy,40
Canada,39
Jordan,39
resilience,38
teachers,38
Dutch young adults,37
guilt,37
climate worry,36
BMI,36
Climate change,35
climate activism,35
ecological emotions,35
wildfire exposure severity,35
predictors,34
psychological resilience,34
climate beliefs,33
functional impairment,32
Depression,31
religiosity,31
anxiety symptoms,30
food insecurity,30
sustainable nutrition behaviors,30
UK,29
fear,29
university students,29
ecological crisis,29
internal consistency,28
Youth,27
PMS,27
climate distress,26
mental health outcomes,26
worry,26
uncertainty,26
trait anxiety,26
Northwest Territories,26
SAM CAM,25
affective wellbeing,25
physical activity,25
adaptive coping,25
neuroticism,25
climate change worry,25
Climate Change Anxiety Scale,24
environmental literacy,24
rumination,24
hopelessness,23
grief,22
psychological needs,22
Kurdistan Region,22
environmental degradation,22
climate stress,22
sadness,21
autonomy,21
anger,21
personality traits,21
Africa,21
Iraqi youth,21
inevitability,20
coping,19
generalized anxiety,19
openness,19
motivation,18
Philippines,18
stress symptoms,18
social support,18
PTSD,17
impaired regulation,17
Gen Z Filipinos,17
sustainable nutrition,17
environmental awareness,16
Conceptualization,16
Nursing students,16
affective symptoms,16
Climate Anxiety,16
emotional needs,15
coping strategies,15
political efficacy,15
responsibility,15
CCWS,15
scoping review,15
climate concern,15
MDD,15
ecological crises,15
education,14
Data curation,14
engagement,14
Climate Change,14
general anxiety,14
adults,14
premenstrual syndrome,14
female nursing students,14
floods,13
data collection,13
girls,13
Nigeria,13
Kenya,13
Food insecurity,13
mediation analysis,12
Climate change anxiety,12
helplessness,12
consequences,12
Erbil,12
mental illness,12
behavioral symptoms,12
CCPAS,12
German students,12
NWT,12
CCAS scores,11
ecological awareness,11
public health,11
emotional distress,11
protective factors,11
mental wellbeing,11
high climate anxiety,11
Likert scale,11
climate crisis beliefs,11
aggression,11
Korean youth,11
pilot study,11
nursing education,11
ecological grief,11
qualitative research,11
premenstrual symptoms,11
medical students,11
J,10
Climate Change Anxiety,10
indirect effects,10
sustainability,10
Mental Health,10
loneliness,10
qualitative data,10
climate communication,10
agency,10
binary item,10
men,10
Validation,10
South Korea,10
philosophical inquiry,10
effect size,10
Ghana,10
human health,10
Arab countries,10
Egypt,10
subclinical symptoms,10
Pediatric Emergency Department,10
ethnicity,9
income,9
Environmental Health Literacy,9
World Health Organization,9
youth mental health,9
Methodology,9
emotions,9
environmental distress,9
situational factors,9
content validity,9
youths,9
Palestine,9
boys,9
Formal analysis,9
maladaptive coping,9
Indigenous youth,9
mental health problems,8
survey waves,8
climate vulnerability,8
older adults,8
Teachers,8
Environmental health literacy,8
Environmental Health Literacy Scale,8
Ecological Footprint Awareness Scale,8
environmental education,8
K10,8
Sociodemographic characteristics,8
social norms,8
Netherlands,8
construct validity,8
individual differences,8
SAM,8
communication strategies,8
climate change education,8
LMICs,8
Germany,8
knowledge,8
Children,8
KRI,8
fetal health,8
subscales,8
suicidal ideation,8
PubMed,8
population mental health,8
disabilities,8
Maladaptive Coping,8
distancing,8
Glob Environ Change,8
caregivers,8
rural residents,8
urban residents,8
Public Health,8
perceptual awareness,8
action efficacy,8
Major Depressive Disorder,8
intrinsic religiosity,8
Climate stress,8
nurses,8
wildfire exposure,8
United States,7
survey wave,7
Ecological Footprint Awareness,7
sustainable behaviors,7
mental health impacts,7
powerlessness,7
thematic analysis,7
Situated Action Cycle,7
action motivation,7
Motivation,7
climate change communication,7
autonomous motivation,7
intrinsic motivation,7
mental health symptoms,7
droughts,7
behavioral responses,7
youth participation,7
global warming,7
marital status,7
media exposure,7
Anxiety,7
Affective symptoms,7
Physical activity,7
informed consent,7
habitual ecological worry,7
climate change perceptual awareness,7
CCPAS scores,7
consensus,7
personality,7
quadratic term,7
conscientiousness,7
extraversion,7
local nutrition,7
Stress,7
stressors,7
stress management,7
wildfires,7
EWEs,7
Psychological resilience,7
prediction interval range,7
British Columbians,6
boxplots,6
Clim Change Health,6
mental health concerns,6
median scores,6
rural areas,6
structural barriers,6
online survey,6
test reliability,6
control,6
compassion,6
climate,6
humor,6
Young people,6
UK Household Longitudinal Study,6
edge weights,6
beliefs,6
high efficacy group,6
aggressiveness,6
Climate Change Worry Scale,6
HICs,6
Turkey,6
behavioral profile,6
climate education,6
youth engagement,6
Philosophical Inquiry Intervention,6
Elementary School Children,6
competence,6
artistic creation,6
International Organization for Migration,6
IOM,6
heatwaves,6
drought,6
PTSD symptoms,6
natural disasters,6
CBPS model,6
IPCC,6
sustainability attitudes,6
CHANT,6
social media,6
Namibia,6
psychiatric diagnoses,6
HEAS subscales,6
mild climate anxiety,6
sample size,6
adolescent climate anxiety,6
public services,6
risk factors,6
agreeableness,6
reflexive thematic analysis,6
Frontiers,6
LPA,6
organizational religiosity,6
menstrual health,6
menstrual cycle,6
transactional model,6
PMS symptoms,6
Climate change awareness,6
structural conditions,6
Indigenous,6
anthropogenic environmental degradation,6
pooled effect size,6
British Columbia,5
CDMS,5
mental health risks,5
sexual orientation,5
environmental knowledge,5
Ecological footprint awareness,5
school type,5
clinical services,5
WHODAS,5
sociodemographic characteristics,5
survey,5
denial,5
sustainable behaviour,5
depressed mood,5
government,5
financial constraints,5
climate disasters,5
situational experience,5
prediction profile,5
survey data,5
internal pressure,5
identified motivation,5
motivation type,5
motivational quality,5
extrinsic motivation,5
external political efficacy,5
personal responsibility,5
variables of interest,5
autoregressive edges,5
distress symptoms,5
academic achievement,5
National Youth Policy Institute,5
review,5
editing,5
Pilot Randomized Cluster Trial,5
creative arts,5
existential psychology,5
emotional expression,5
adaptive coping strategies,5
Kurdistan region,5
psychiatric decompensation,5
global warming knowledge,5
Media exposure,5
databases,5
paranoid beliefs,5
African,5
African countries,5
mental health disorders,5
mental health vulnerabilities,5
psychological support,5
stress subscales,5
Patient Health Questionnaire,5
Adaptive,5
efficacy beliefs,5
climate event,5
Lancet Planetary Health,5
convenience sampling,5
youth climate anxiety,5
moderated mediation,5
climate change information,5
China,5
Ecological Emotions,5
Global South,5
ecological worry,5
national climate change policy,5
nature connectedness,5
female gender,5
J Anxiety,5
ord,5
ecological anxiety,5
food purchasing,5
centrality,5
robustness,5
multinomial logistic regression,5
entropy,5
scalar,5
profile membership,5
Women,5
reproductive health,5
Indigenous identity,5
living conditions,5
social marginalization,5
FOXY,5
SMASH,5
rural area,5
Supplementary Appendix,5
relationship status,4
political orientation,4
non-binary individuals,4
CCA trends,4
heat dome,4
CIHR,4
interaction effects,4
Climate worry,4
Canadian youth,4
integrated youth services,4
sustainable action,4
Dutch,4
collective engagement,4
situated psychometric instrument,4
individual regressions,4
prediction profiles,4
SAM CAM measure,4
IQR,4
hierarchical clustering dendrogram,4
reduced affective wellbeing,4
action pathways,4
Intrinsic motivation,4
introjected motivation,4
conceptualization,4
Climate Emotions,4
climate crisis perceptions,4
Wave 10,4
regularised regression step,4
belief,4
low efficacy group,4
climate change events,4
climate change exposure,4
undergraduates,4
mood,4
undergraduate students,4
climate engagement,4
social climate,4
climate inequality,4
active outdoor play,4
elementary school children,4
affiliation,4
control group,4
philosophy,4
positive psychology,4
dust storms,4
desertification,4
hierarchical blockwise regression,4
farmers,4
obstetric characteristics,4
pregnancy process,4
multinational study,4
Arab region,4
BPS model,4
agriculture,4
healthcare professionals,4
global climate change awareness,4
future anxiety,4
Environmental literacy,4
nursing curricula,4
Public Health Nurs,4
continuity,4
alpha function,4
climate emotions,4
schoolchildren,4
HIV,4
Rwanda,4
informal settlements,4
neurodiverse populations,4
population health,4
psychiatric populations,4
general population,4
GAD,4
entrapment,4
Trait anxiety,4
Predictor Variables,4
Young People,4
behavioural engagement,4
recycling,4
Age,4
partial mediation,4
housing,4
adolescent CCAS,4
adult caregivers,4
public health insurance,4
SDOH,4
Health Care Organization,4
bootstrap CI,4
Indirect effect,4
privacy,4
Emotional Resonance,4
Collective Grief,4
ecological guilt,4
ontological insecurity,4
Psychology,4
forest fires,4
higher education institutions,4
Arabic translation,4
non-communicable diseases,4
personal health risk,4
Personality traits,4
climate knowledge,4
Bielefeld University,4
personality subscales,4
independent variables,4
MLRA,4
individuals,4
phenomenological approach,4
pessimism,4
Religiosity,4
Sustainable Nutrition,4
food preference,4
Network analysis,4
BIC,4
network structures,4
metric,4
Matrouh University,4
Premenstrual syndrome,4
female students,4
perceived stress,4
Structural equation modelling,4
rural communities,4
UNICEF,4
cisgender girls,4
Cisgender girls,4
pooled correlation,4
outliers,4
psychedelics,3
causal inference,3
ADHD,3
occupation,3
liberal political orientation,3
mental health interventions,3
BC,3
population density,3
social processes,3
marginalization,3
Internet,3
ecological footprint awareness scores,3
environmental health training,3
Classroom teachers,3
awareness,3
social desirability bias,3
daily life impacts,3
IYS centres,3
life activities,3
negative daily life impacts,3
extreme climate worry,3
Emotional Needs,3
supportive environments,3
knowledge gaps,3
motivational factors,3
public health strategies,3
individual trait level,3
dependent variable,3
individual interaction,3
correlations,3
UK population,3
clustering solution,3
ICC2,3
expectation violation,3
SAM CAM predictors,3
Climate Crisis,3
Urban Rotterdam Project,3
external pressure,3
shame,3
Climate Change Communication,3
UNESCO,3
survey study,3
demographic information,3
institutional ethical review board,3
Affective wellbeing,3
empowerment,3
youth organizations,3
focus groups,3
affinity mapping,3
Psychological Distress,3
climate perceptions,3
sum scores,3
governmental response,3
standard deviations,3
internal efficacy,3
low education groups,3
CLPN model,3
low,3
high internal political efficacy group,3
low external political efficacy group,3
weighted adjacency matrices,3
CLPN models,3
directed arrows,3
Kessler Psychological Distress Scale,3
universities,3
despair,3
temperature,3
academic performance,3
West Bank,3
internal consistency coefficient,3
serious mental illness,3
aggressive behavior,3
heat waves,3
internet,3
psychological effects,3
behavioral profiles,3
institutional responses,3
Key variables,3
climate belief,3
Human activity,3
Paris Agreement,3
health,3
Lancet Planet Health,3
photography,3
introspection,3
primary outcome,3
Informed consent,3
Creative Arts,3
ANOVA,3
climate adaptation,3
mortality,3
heat stress,3
mental health burden,3
urban areas,3
bivariate analyses,3
Kessler psychological distress scale,3
mental health outcome,3
longitudinal designs,3
Socioeconomic status,3
employed individuals,3
Bangladesh,3
family planning clinic,3
Personal Information Form,3
family planning methods,3
reproductive intentions,3
fertility desire,3
Hope,3
psychological resource,3
Lebanon,3
statistical power,3
divorced,3
psychological factors,3
bipolar disorder,3
tropical storm Hilary,3
research,3
Saudi Arabia,3
psychological interventions,3
nursing educators,3
mental health support,3
free terms,3
emotional response,3
rural nursing students,3
nursing student populations,3
security,3
child,3
environmental crisis,3
search strategy,3
flooding,3
suicidality,3
search strings,3
Tanzania,3
Maasai migrants,3
community social cohesion,3
professional identity,3
social capital,3
mental health systems,3
health equity,3
population mental health framework,3
inclusive planning,3
Embase,3
Web of Science Core Collection,3
Scopus,3
psychiatric population studies,3
mental health measurements,3
climate changes,3
generalized anxiety symptoms,3
patient characteristics,3
Mean age,3
Climate Coping Scale,3
Perceived Social Support,3
CCS subscales,3
Collective Efficacy,3
Social support,3
affective responses,3
climate protests,3
concern,3
interaction terms,3
material consumption,3
Climate concern,3
Mild climate anxiety,3
High climate anxiety,3
moderation,3
high effort behaviours,3
adult caregiver,3
race,3
caregiver,3
housing quality,3
adolescent patients,3
caregiver participants,3
CCAS score,3
Alameda County Environmental Justice Community Survey,3
adolescent patient,3
Flourishing Scale,3
Pearson correlations,3
statistical associations,3
statistical significance,3
regression analyses,3
high physical activity,3
Generation Z Filipinos,3
Place Identity,3
environmental grief,3
Ecological grief,3
natural hazards,3
Gen Z,3
Climate Change Perceptual Awareness,3
Change,3
climate literacy,3
female sex,3
Students,3
climate awareness,3
university curricula,3
climate governance,3
nationality,3
chronic medical conditions,3
internal reliability,3
water scarcity,3
females,3
Gender,3
risk factor,3
functional impairments,3
Extraversion,3
environmental stressors,3
interviews,3
thematic structure,3
recovery,3
restlessness,3
emotional numbness,3
coping resources,3
clinical diagnosis,3
Low profile,3
High profile,3
effect sizes,3
stewardship,3
