keyword,count
climate anxiety,103
climate activism,35
climate action,22
age,22
climate change,20
climate concern,15
anxiety,14
Climate anxiety,12
UK,11
high climate anxiety,8
mental health,7
young people,6
mild climate anxiety,6
wellbeing,6
fear,5
gender,5
worry,4
climate change anxiety,4
guilt,4
behavioural engagement,4
recycling,4
Age,4
predictors,4
sample size,4
effect size,4
partial mediation,4
Glob Environ Change,4
J,4
affective responses,3
CCAS,3
climate protests,3
concern,3
interaction terms,3
education,3
material consumption,3
internal consistency,3
Climate concern,3
Mild climate anxiety,3
High climate anxiety,3
moderation,3
high effort behaviours,3
IPCC,3
extreme weather events,2
environmental action,2
ages,2
Climate activism,2
adults,2
risk perceptions,2
psychological distress,2
rumination,2
