keyword,count
climate change,849
climate anxiety,689
anxiety,337
mental health,332
youth,190
nursing students,190
depression,168
climate change anxiety,160
children,155
women,130
psychological distress,100
hope,96
students,95
gender,90
Climate anxiety,82
CCA,81
stress,81
young people,78
age,76
CCARPD,75
emotional responses,71
young adults,69
climate crisis,67
depressive symptoms,64
extreme weather events,60
ecological footprint awareness,58
CCAS,57
adolescents,56
climate change awareness,55
climate action,54
Iraq,45
wellbeing,43
environmental health literacy,40
Canada,39
Jordan,39
resilience,38
teachers,38
Dutch young adults,37
guilt,37
climate worry,36
BMI,36
Climate change,35
climate activism,35
ecological emotions,35
wildfire exposure severity,35
predictors,34
psychological resilience,34
climate beliefs,33
functional impairment,32
Depression,31
religiosity,31
anxiety symptoms,30
food insecurity,30
sustainable nutrition behaviors,30
UK,29
fear,29
university students,29
ecological crisis,29
internal consistency,28
Youth,27
PMS,27
climate distress,26
mental health outcomes,26
worry,26
uncertainty,26
trait anxiety,26
Northwest Territories,26
SAM CAM,25
affective wellbeing,25
physical activity,25
adaptive coping,25
neuroticism,25
climate change worry,25
Climate Change Anxiety Scale,24
environmental literacy,24
rumination,24
hopelessness,23
grief,22
psychological needs,22
Kurdistan Region,22
environmental degradation,22
climate stress,22
sadness,21
autonomy,21
anger,21
personality traits,21
Africa,21
Iraqi youth,21
inevitability,20
coping,19
generalized anxiety,19
openness,19
motivation,18
Philippines,18
stress symptoms,18
social support,18
PTSD,17
impaired regulation,17
Gen Z Filipinos,17
sustainable nutrition,17
