review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,9,europe_pmc_PMC12086192,PMC12086192,40383745,10.1038/s41598-025-01361-z,Sustainable modular biofiltration system with rainshower technology for AQI reform.,2025-05-18,,Jaiswal V; Singh S; Mangal A; Singh PP,True,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]",india,"aqi, air quality index, air pollution","cardiovascular, health","India is the tenth most polluted nation in the world, according to the World Health Organization (WHO) 2022 assessment. Approximately 1.67 million deaths are caused by lung, cardiovascular, stroke, an...",
review,9,europe_pmc_PMC12448019,PMC12448019,40980428,10.1016/j.mex.2025.103597,A hybrid physics-informed neural and explainable AI approach for scalable and interpretable AQI predictions.,2025-08-29,,Chandrashekar SV; Khan F; Sridhar S; Dhanaraj RK; Balusamy B; Pamucar D; Sathyamoorthy M,True,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]",india,"aqi, air quality index, air pollution","health, public health","<i>Air Pollution is a critical environmental issue affecting public health, climate, and ecosystems. However, accurately predicting and classifying Air Quality Index (AQI) levels across different regi...",
review,8,europe_pmc_PMC12098713,PMC12098713,40404694,10.1038/s41598-025-00814-9,Assessment and forecasting of particulate matter emissions and structural health monitoring of buildings in Bangalore.,2025-05-22,,Devi LP; Chandana R; Bandhu D,True,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]",bangalore,"aqi, air quality index, particulate matter","health, public health","Particulate Matter (PM) emissions have emerged as a critical global concern due to rapid urbanisation, increased vehicular traffic, and construction activities. These emissions not only harm human hea...",
review,8,europe_pmc_PMC12815361,PMC12815361,41561726,10.4103/ijcm.ijcm_663_24,Impact of Housing Conditions and Air Quality Awareness with Indoor PM2.5 Levels in Urban Jodhpur.,2025-11-13,,Huda RK; Gupta R; Kumar P; Singh J; Sharma AK; Toteja GS; Babu BV,True,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]",india,"pm2.5, particulate matter, air pollution","health, public health","Indoor air pollution poses a major public health concern in India, particularly among urban populations exposed to high levels of particulate matter. This study aimed to assess the influence of housin...",
review,8,europe_pmc_PMC13289869,PMC13289869,42335049,10.1371/journal.pgph.0005382,"Real-time impacts of air pollution on the health, well-being, and daily life of children and young people in Delhi and Dhaka.",2026-06-23,,Bwire C; Bonnet G; Bonell A; Juel R; Milner J; Yeung S; Hughes R,True,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]","india, delhi","pm2.5, particulate matter, air pollution","respiratory, health","Air pollution is a major global health threat, with children and young people (CYP) among the most vulnerable. Delhi (India) and Dhaka (Bangladesh) are two of the world's most polluted cities, with pe...",
review,8,paper_41151661,,41151661,10.1016/j.envpol.2025.127324,Impact of meteorological drivers on air quality index: A case study from Delhi.,2025-10-26,,Ali D; Singh M; Khan AA; Vidyarthi AK; Ahmed S,False,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]",delhi,"aqi, air quality index, air pollution",health,Air quality is directly linked to human health and the sustainable development of economic and social systems. This study is based on the Air Quality Index (AQI) and meteorological data of Delhi from ...,
review,8,paper_41196422,,41196422,10.1007/s10661-025-14700-4,Evaluating machine learning models and imputation strategies for Air Quality Index forecasting in urban India.,2025-11-06,,Lawrence S; Bhathmanabhan S,False,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]","india, indian, chennai","aqi, air quality index",health,"Accurate Air Quality Index (AQI) prediction is essential for timely health risk management in urban environments, yet challenges such as missing data and complex pollutant interactions limit the perfo...",
review,8,paper_42270759,,42270759,10.1038/s41598-026-54918-x,Regression based hybrid machine learning model performance evaluation on air quality index prediction in Kolkata.,2026-06-10,,G K ML; G MR,False,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]",kolkata,"aqi, air quality index, pm2.5, pm10, particulate matter, air pollution","health, public health","Air pollution, especially elevated particulate matter concentrations, presents a substantial risk to public health and environmental sustainability in urban regions. By employing machine learning and ...",
review,7,paper_10.21203_rs.3.rs-10024875_v1,,,10.21203/rs.3.rs-10024875/v1,"Association Between Ambient and Indoor Air Pollution Exposure and Nutritional Status of Under-5 (36–59 Months) Children: An Analytical Cross-Sectional Study in Mysuru, India",2026-06-23,,Basanagoudar B; M SD; C MM,False,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]","india, indian","aqi, particulate matter, air pollution","exposure, health, public health","<title>Abstract</title>  <p>Background  Childhood undernutrition and air pollution are converging crises in low- and middle-income countries. Despite a well-established biological rationale, evidence ...",
review,7,paper_10.21203_rs.3.rs-9177028_v1,,,10.21203/rs.3.rs-9177028/v1,Occupational exposure to air pollution and respiratory health among urban street vendors in South India,2026-04-07,,Muruganantham P; S VT; Ubaithullah¹ AB; Jayaraman N; Sethuraman S; Arasu V; Ravichandran H; Janakiraman¹ B,False,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]","india, chennai","aqi, air quality index, air pollution","exposure, respiratory, health, public health","<title>Abstract</title>  <p>Background  Street vending is a non-formal, vital domestic workforce in most developing nations. The street vendors operate in an unregulated environment and are frequently...",
review,7,paper_40889630,,40889630,10.1016/j.envpol.2025.127051,"Association between ambient air pollution and increased risk of respiratory diseases in Vellore and Ranipet, Tamil Nadu, India: A retrospective study.",2025-08-30,,Pootheri A; Chinnaiyan P; Ashok N; Saraswathy R,False,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]","india, tamil nadu","aqi, ambient air pollution, air pollution","exposure, respiratory","Numerous studies have shown a link between short and long-term exposure to air pollution and a wide range of illnesses. Although the etiology of these illnesses has been identified, modifiable risk fa...",
review,7,paper_41492204,,41492204,10.1080/10934529.2025.2609042,Temporal trends in AQI and precursor pollutants: a long-term case study of Noida.,2025-01-01,,Raju MP; Bhardwaj LK; Srivastava AK,False,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]","india, uttar pradesh","aqi, air quality index, particulate matter, ozone",,"This study analyses the long-term variations in air quality at Amity University, Noida, Uttar Pradesh, India, from May 2017 to December 2024, focusing on the monthly mean Air Quality Index (AQI) and i...",
review,7,paper_41863339,,41863339,10.1093/inteam/vjag046,Assessing Nexus between Human Health and Air Pollutants through Spatiotemporal Analysis of Particulate Matters.,2026-03-21,,Kumar P; Kumar P; Pratap Choudhary M,False,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]","india, indian","aqi, air quality index, pm2.5, pm10, particulate matter","exposure, mortality, cardiovascular, health","This study evaluates spatiotemporal variation of particulate pollution and associated health impacts in Jodhpur, an arid Indian city among the most polluted in the country. Data from nine monitoring s...",
review,7,paper_42336951,,42336951,10.1038/s41598-026-54531-y,Firecracker-induced air pollution and health burden during Diwali: ground and satellite assessment across 14 cities of The Indo-Gangetic Basin.,2026-06-23,,Bartaria V; Kumar R; Kumar K; Jangid A,False,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]",delhi,"aqi, air quality index, air pollution","exposure, health, public health","This study examines the impact of Diwali festivities on air quality and public health across 14 cities in the Indo-Gangetic Basin (IGB), integrating ground-based monitoring, satellite data, and meteor...",
review,7,paper_42373085,,42373085,10.1080/09593330.2026.2693198,Sustainable air pollution management in coal mining through low-cost sensors and smart monitoring platform.,2026-06-29,,Suresh V; Agarwal S; Chugh YP; Kumar S; Gautam A,False,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]",india,"aqi, air pollution",health,"Open-pit coal mining is a significant source of air pollution, especially in developing countries, where dust and gaseous emissions from mining operations often exceed regulated limits due to limited ...",
review,7,paper_42399879,,42399879,10.1186/s12889-026-28270-8,Occupational exposure to air pollution and respiratory health among urban street vendors in South India.,2026-07-03,,Muruganantham P; T S V; Ubaithullah AB; Jayaraman N; Sethuraman S; Arasu V; Ravichandran H; Janakiraman B,False,False,aqi_india_pilot,"((""air quality index"" OR AQI OR ""air pollution"" OR ""ambient air quality"") AND India) AND FIRST_PDATE:[2020 TO 2026]","india, chennai","aqi, air quality index, air pollution","exposure, respiratory, health, public health","<h4>Background</h4>Street vending is a non-formal, vital domestic workforce in most developing nations. The street vendors operate in an unregulated environment and are frequently exposed to hazardous...",
