,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,42199228
source,MED
pmid,42199228
pmcid,PMC13199339
fullTextIdList,{'fullTextId': 'PMC13199339'}
doi,10.3389/fpls.2026.1819890
title,Application of crop growth models in crop yield assessment.
authorString,"Ye Z, Liao L, Qiu G, Xiao Y, Huang D, Duan Z, Pu S, Wen J."
authorList,"{'author': [{'fullName': 'Ye Z', 'firstName': 'Zi', 'lastName': 'Ye', 'initials': 'Z', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': ""College of Agronomy and Biotechnology, Rice Research Institute, The Key Laboratory for Crop Production and Smart Agriculture of Yunnan Province, Key Laboratory for Molecular Breeding of Dian-Type Hybrid Japonica Rice, Jingdong County Farmers' Academician Science and Technology Service Station, Yunnan Agricultural University, Kunming, Yunnan,\xa0China.""}}}, {'fullName': 'Liao L', 'firstName': 'Lanqing', 'lastName': 'Liao', 'initials': 'L', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': ""College of Agronomy and Biotechnology, Rice Research Institute, The Key Laboratory for Crop Production and Smart Agriculture of Yunnan Province, Key Laboratory for Molecular Breeding of Dian-Type Hybrid Japonica Rice, Jingdong County Farmers' Academician Science and Technology Service Station, Yunnan Agricultural University, Kunming, Yunnan,\xa0China.""}}}, {'fullName': 'Qiu G', 'firstName': 'Guiqin', 'lastName': 'Qiu', 'initials': 'G', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': ""College of Agronomy and Biotechnology, Rice Research Institute, The Key Laboratory for Crop Production and Smart Agriculture of Yunnan Province, Key Laboratory for Molecular Breeding of Dian-Type Hybrid Japonica Rice, Jingdong County Farmers' Academician Science and Technology Service Station, Yunnan Agricultural University, Kunming, Yunnan,\xa0China.""}}}, {'fullName': 'Xiao Y', 'firstName': 'Yurong', 'lastName': 'Xiao', 'initials': 'Y', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': ""College of Agronomy and Biotechnology, Rice Research Institute, The Key Laboratory for Crop Production and Smart Agriculture of Yunnan Province, Key Laboratory for Molecular Breeding of Dian-Type Hybrid Japonica Rice, Jingdong County Farmers' Academician Science and Technology Service Station, Yunnan Agricultural University, Kunming, Yunnan,\xa0China.""}}}, {'fullName': 'Huang D', 'firstName': 'Dajun', 'lastName': 'Huang', 'initials': 'D', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': ""College of Agronomy and Biotechnology, Rice Research Institute, The Key Laboratory for Crop Production and Smart Agriculture of Yunnan Province, Key Laboratory for Molecular Breeding of Dian-Type Hybrid Japonica Rice, Jingdong County Farmers' Academician Science and Technology Service Station, Yunnan Agricultural University, Kunming, Yunnan,\xa0China.""}}}, {'fullName': 'Duan Z', 'firstName': 'Zilin', 'lastName': 'Duan', 'initials': 'Z', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': ""College of Agronomy and Biotechnology, Rice Research Institute, The Key Laboratory for Crop Production and Smart Agriculture of Yunnan Province, Key Laboratory for Molecular Breeding of Dian-Type Hybrid Japonica Rice, Jingdong County Farmers' Academician Science and Technology Service Station, Yunnan Agricultural University, Kunming, Yunnan,\xa0China.""}}}, {'fullName': 'Pu S', 'firstName': 'Shihuang', 'lastName': 'Pu', 'initials': 'S', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': ""College of Agronomy and Biotechnology, Rice Research Institute, The Key Laboratory for Crop Production and Smart Agriculture of Yunnan Province, Key Laboratory for Molecular Breeding of Dian-Type Hybrid Japonica Rice, Jingdong County Farmers' Academician Science and Technology Service Station, Yunnan Agricultural University, Kunming, Yunnan,\xa0China.""}}}, {'fullName': 'Wen J', 'firstName': 'Jiancheng', 'lastName': 'Wen', 'initials': 'J', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': ""College of Agronomy and Biotechnology, Rice Research Institute, The Key Laboratory for Crop Production and Smart Agriculture of Yunnan Province, Key Laboratory for Molecular Breeding of Dian-Type Hybrid Japonica Rice, Jingdong County Farmers' Academician Science and Technology Service Station, Yunnan Agricultural University, Kunming, Yunnan,\xa0China.""}}}]}"
dataLinksTagsList,{'dataLinkstag': 'altmetrics'}
journalInfo,"{'volume': '17', 'journalIssueId': '4112080', 'dateOfPublication': '2026', 'monthOfPublication': '0', 'yearOfPublication': '2026', 'printPublicationDate': '2026-01-01', 'journal': {'title': 'Frontiers in plant science', 'ISOAbbreviation': 'Front Plant Sci', 'medlineAbbreviation': 'Front Plant Sci', 'NLMid': '101568200', 'ISSN': '1664-462X', 'ESSN': '1664-462X'}}"
pubYear,2026
pageInfo,1819890
abstractText,"Global food security is facing formidable challenges due to rising temperatures, frequent extreme weather events, growing water scarcity, cropland reduction, fluctuations in international food trade, and rising food demand. Crop production systems are complex, multi-factor dynamic systems influenced collectively by crop cultivars, climatic conditions, soil properties, and management practices, which exhibit strong spatiotemporal variability. Crop growth models have emerged as essential tools in smart agriculture, integrating knowledge from crop physiology, ecology, meteorology, soil science, and agronomy to simulate crop growth processes dynamically. This systematic review focuses on six key aspects of crop growth modeling: (1) introduction of major crop models; (2) assessing climate change impacts on crop yields; (3) predicting yield potential and yield gaps; (4) identifying yield-limiting factors; (5) formulating adaptation strategies; and (6) challenges and future research directions. Future research should focus on the deep integration of crop growth models with remote sensing, the Internet of Things (IoT), big data, cloud computing, and artificial intelligence technologies to establish intelligent ""space-air-ground"" decision-making systems that support precision, unmanned, and climate-resilient agriculture."
