,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,42268824
source,MED
pmid,42268824
pmcid,PMC13252736
fullTextIdList,{'fullTextId': 'PMC13252736'}
doi,10.1371/journal.pone.0349705
title,Fresh aboveground net primary productivity of Tibetan grasslands: Responses of different plant functional groups to climate change and human activities and implications for ecosystem management.
authorString,"Zhang G, Sun W, Li S, Zhong Z, Tian Y, Zhao C, Han F, Huang S, Yujie D, Fu G."
authorList,"{'author': [{'fullName': 'Zhang G', 'firstName': 'Guangyu', 'lastName': 'Zhang', 'initials': 'G', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Lhasa Plateau Ecosystem Research Station, Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China.'}}}, {'fullName': 'Sun W', 'firstName': 'Wei', 'lastName': 'Sun', 'initials': 'W', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Lhasa Plateau Ecosystem Research Station, Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China.'}}}, {'fullName': 'Li S', 'firstName': 'Shaowei', 'lastName': 'Li', 'initials': 'S', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Lhasa Plateau Ecosystem Research Station, Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China.'}}}, {'fullName': 'Zhong Z', 'firstName': 'Zhiming', 'lastName': 'Zhong', 'initials': 'Z', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Lhasa Plateau Ecosystem Research Station, Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China.'}}}, {'fullName': 'Tian Y', 'firstName': 'Yuan', 'lastName': 'Tian', 'initials': 'Y', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Lhasa Plateau Ecosystem Research Station, Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China.'}}}, {'fullName': 'Zhao C', 'firstName': 'Chenjun', 'lastName': 'Zhao', 'initials': 'C', 'authorAffiliationDetailsList': {'authorAffiliation': [{'affiliation': 'Lhasa Plateau Ecosystem Research Station, Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China.'}, {'affiliation': 'College of Resources and Environment, University of Chinese Academy of Sciences, Beijing, China.'}]}}, {'fullName': 'Han F', 'firstName': 'Fusong', 'lastName': 'Han', 'initials': 'F', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Urban and Environmental Sciences, Hunan University of Technology, Zhuzhou, Hunan, China.'}}}, {'fullName': 'Huang S', 'firstName': 'Shaolin', 'lastName': 'Huang', 'initials': 'S', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'College of Tourism, Henan Normal University, Xinxiang, Henan, China.'}}}, {'fullName': 'Yujie D', 'firstName': 'Dunzhu', 'lastName': 'Yujie', 'initials': 'D', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': ""People's Government of Zhongba County, Xigaze, Tibet Autonomous Region, China.""}}}, {'fullName': 'Fu G', 'firstName': 'Gang', 'lastName': 'Fu', 'initials': 'G', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-6055-8730'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Lhasa Plateau Ecosystem Research Station, Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, China.'}}}]}"
authorIdList,"{'authorId': {'@type': 'ORCID', '#text': '0000-0002-6055-8730'}}"
journalInfo,"{'issue': '6', 'volume': '21', 'journalIssueId': '4204536', 'dateOfPublication': '2026', 'monthOfPublication': '0', 'yearOfPublication': '2026', 'printPublicationDate': '2026-01-01', 'journal': {'title': 'PloS one', 'ISOAbbreviation': 'PLoS One', 'medlineAbbreviation': 'PLoS One', 'NLMid': '101285081', 'ISSN': '1932-6203', 'ESSN': '1932-6203'}}"
pubYear,2026
pageInfo,e0349705
