review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,2,europe_pmc_42296818,,42296818,10.1016/j.jhazmat.2026.142440,The boiling frog effect: Global warming delays emotional impacts of air pollution in warmer climates.,2026-05-22,,Wang S; Liu H; Wu CYH; Huang X; Wang R; Yang Y; Corcoran J; Lai S; Xia X; Liu Y,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,air pollution,"exposure, health, public health","Climate change, air pollution, and extreme weather interact in complex ways that impact emotional states of populations. These dynamics are crucial in effective health planning and risk profiling, how...",
review,2,europe_pmc_unknown,,,10.21203/rs.3.rs-7587722/v1,Benchmarking Regional Climate Variability in CMIP6 over India in the Recent Accelerated Global Warming Epoch,2026-01-12,,Kaagita V; Thandlam V; Reddy V,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")","india, indian",,,"<title>Abstract</title>  <p>This study evaluated 30 CMIP6 models and their Multi-Model Mean (M3) with observations in capturing India’s regional climate variability and extremes during 2015–2024, a pe...",
review,-1,europe_pmc_PMC12589577,PMC12589577,41193515,10.1038/s41467-025-65015-4,A rapidly closing window for coral persistence under global warming.,2025-11-05,,Bozec YM; Adam AAS; Arellano-Nava B; Cresswell AK; Haller-Bull V; Iwanaga T; Lachs L; Matthews SA; McWhorter JK; Anthony KRN; Condie SA; Halloran PR; Ortiz JC; Riginos C; Mumby PJ,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,mortality,"Coral reefs around the world are increasingly threatened by marine heatwaves causing widespread coral bleaching and mortality. Global analyses of projected heatwaves can inform decision-making, but fo...",
review,-1,europe_pmc_PMC13172437,PMC13172437,42129968,10.1002/ecy.70413,Neotropical ants are at greater risk from global warming in savanna than in adjacent forest.,2026-05-01,,Zuanon LA; Neves KC; Andersen AN; Vasconcelos HL,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,exposure,Determining how the thermal tolerances of species are related to climatic conditions at multiple spatial scales can improve our understanding of species distributions and their vulnerability to climat...,
review,-1,europe_pmc_PMC13285055,PMC13285055,42050479,10.1186/s12889-026-27585-w,The relationship between environmental literacy and global warming knowledge levels in faculty of health sciences students.,2026-04-28,,Kıyak Yorulmaz Y; Özakgül A; Topraklı EC; Paçalı DN; Aktoprak S; Calda D; Baysal A; Aştı T,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,"health, public health",<h4>Aim</h4>This study was conducted to examine the relationship between environmental literacy and global warming knowledge levels among future healthcare professionals who will play a role in protec...,
review,-2,europe_pmc_41124905,,41124905,10.1016/j.scitotenv.2025.180757,Global warming impacts on lactating mammalian milk: A systematic review.,2025-10-21,,de São José AN; Ferrarez Bouzada Viana MC; Machado MGP; de Morais Almeida SL; do Carmo Resende U; de Oliveira Mota H; Júnior MLP; da Rocha AF; de Carvalho DO; de Jesus Hartmann Nader P; Reis ZSN,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,health,"Climate change represents a significant loss of billions of dollars for the livestock sector, prompting researchers to investigate how global warming and heat stress impact dairy cow productivity. How...",
review,-2,europe_pmc_41752246,,41752246,10.3390/ijerph23020164,Global Warming and the Elderly: A Socio-Ecological Framework.,2026-01-28,,Russin NH; Martin MP; McElhinny M,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,"exposure, mortality, morbidity, health","<b>Problem Statement:</b> Two global trends, including aging populations and the acceleration of global warming, are increasing the risk of heat-related illness, challenging the health of populations,...",
review,-2,europe_pmc_42383752,,42383752,10.1128/mbio.00750-26,mGem: A perfect storm in the era of global warming-the convergence between thermotolerant fungi and altered immunity.,2026-07-01,,Lamoth F; Kontoyiannis DP,False,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,epidemiology,"The evidence supporting the impact of global warming on the epidemiology of infectious diseases, including fungal infections, is increasing. Fungi have a remarkable ability to adapt to heat and pollut...",
review,-2,europe_pmc_PMC12484551,PMC12484551,41028210,10.1038/s41598-025-10584-z,Predicting biomass global warming potential with FT-NIR spectroscopy.,2025-09-30,,Gyawali P; Shrestha B; Phanomsophon T; Posom J; Pornchaloempong P; Sirisomboon P; Shrestha BP; Funke A,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,This research is to predict the global warming potential (GWP) of biomass by using Fourier transform near-infrared (FT-NIR) spectroscopy. A partial least squares regression model of 197 biomass chip s...,
review,-2,europe_pmc_PMC12610921,PMC12610921,40685787,10.1111/sjop.70007,Who's Interested in Global Warming?,2025-07-20,,Fenton-O'Creevy M; Furnham A,True,False,global_warming,"(""global warming"" OR ""climate change"" OR ""greenhouse effect"" OR ""global temperature rise"")",,,,"We report on a study of the correlates of attitude to global warming (GW). We build on prior research on the role of demographic variables, personality, and political orientation in predicting attitud...",
