review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,-2,europe_pmc_41802092,,41802092,10.13031/jash.16465,Uncovering Health Hazards from Agricultural Practices Among Farmers in a Caribbean Country: A Cross-Sectional Study.,2026-02-01,,Telesford L; Edwards O; Compton S; Hale S; Vandenborn SB; Touza M; Ören MM; Pierre-Romain L; Bidaisee S; Ramdass P; Yakubu Y,False,False,agrochemicals_alternatives,"(""agrochemicals"" AND ""alternatives"")",,,"respiratory, health, public health","<h4>Highlights</h4>There is a need to close the gap in farmers' knowledge about natural pesticides and safer alternatives to agrochemicals. A system for routine, affordable medical care would encourag...",
review,-2,europe_pmc_42053675,,42053675,10.1007/s10661-026-15336-8,Environmental fate and toxicity of insecticides in soil matrix: a review on contamination sources and Integrated Pest Management strategies.,2026-04-29,,Isler II; Goksu H,False,False,agrochemicals_alternatives,"(""agrochemicals"" AND ""alternatives"")",,,health,"Insecticides are extensively utilized in modern agriculture to control pests and enhance crop yields; however, their pervasive application has emerged as a primary driver of global soil contamination....",
review,-2,europe_pmc_42134175,,42134175,10.1016/j.scitotenv.2026.181861,Adverse effects of entomopathogenic nematodes on honey bees following foliar application under laboratory conditions.,2026-05-14,,Straub L; Rüfenacht A; Grossar D; Jeker L,False,False,agrochemicals_alternatives,"(""agrochemicals"" AND ""alternatives"")",,,"exposure, mortality","The need for sustainable crop protection has intensified interest in entomopathogenic nematodes (EPNs) as biological alternatives to synthetic agrochemicals. However, their potential non-target effect...",
review,-2,europe_pmc_42235245,,42235245,10.1016/j.plaphy.2026.111436,Hormonal crosstalk in endophyte-mediated biotic stress resilience: from colonization to defence for sustainable agriculture.,2026-05-27,,Talukdar A; Saikia NK; Sarkar A; Velmurugan N; Chikkaputtaiah C; Basu U; Bharali P; Hiremath SS,False,False,agrochemicals_alternatives,"(""agrochemicals"" AND ""alternatives"")",,,health,The unprecedented pressure from a rising global population places heavy demands on agriculture to ensure secure and sustainable food production. Synthetic agrochemicals have contributed to yield enhan...,
review,-2,europe_pmc_42407401,,42407401,10.1016/j.micres.2026.128614,"Trichoderma-mediated biogenic synthesis of metal nanoparticles: Implications for soil health, plant resilience, and sustainable agroecosystems.",2026-07-04,,Ibrahim NA; Mehta H; Sulieman AME; Mir RH; Fatima SB; Adnan M; Surti M,False,False,agrochemicals_alternatives,"(""agrochemicals"" AND ""alternatives"")",,,health,"The growing demand for sustainable agricultural practices has accelerated interest in eco-friendly alternatives to conventional agrochemicals. Among these, metal nanoparticles synthesized through biol...",
review,-2,europe_pmc_PMC13266967,PMC13266967,42190155,10.1021/acs.jafc.5c16967,From Genome Inspection to Precision Agrochemicals: A Structure-Based Antivirulence Roadmap for Sustainable Crop Protection against &lt;i&gt;Xylella fastidiosa&lt;/i&gt;.,2026-05-26,,Caliandro R; Astolfi A; Amoia SS; Belviso BD; Mangini V; Rodrigues De Souza Neto R; Sciancalepore AG; Sabatini S; Giampetruzzi A; Barreca ML; Caliandro R,True,False,agrochemicals_alternatives,"(""agrochemicals"" AND ""alternatives"")",,,,"The emergence of antimicrobial resistance and environmental concerns is driving the need for sustainable crop-protection strategies beyond conventional pathogen-killing approaches. Here, we outline a ...",
review,-3,europe_pmc_41754353,,41754353,10.3390/plants15040647,Harnessing Plant-Microorganism Interactions to Mitigate Biotic and Abiotic Stresses for Sustainable Crops.,2026-02-19,,Dos Santos MS; Rodrigues SP; Hemerly AS; Fernandes AAR; Fernandes PMB,False,False,agrochemicals_alternatives,"(""agrochemicals"" AND ""alternatives"")",,,,"Climate change has intensified the occurrence of biotic and abiotic stresses, representing a major threat to agricultural productivity. This climate variability, coupled with the excessive use of agro...",
review,-3,europe_pmc_41958289,,41958289,10.1039/d6cc01414c,When mechanochemistry meets fluorine.,2026-04-30,,Purohit VB; Prajapati RV; Prajapati VD; Katayev D; Mkrtchyan S; Iaroshenko VO,False,False,agrochemicals_alternatives,"(""agrochemicals"" AND ""alternatives"")",,,,"Given the importance of organofluorine compounds as potent pharmaceuticals, agrochemicals, and fine chemicals, there has been a surge in synthetic approaches to introduce fluoro/fluorinated functional...",
review,-3,europe_pmc_42114708,,42114708,10.1016/j.yrtph.2026.106122,Retrospective evaluation of the OECD adopted in vitro skin irritation/corrosion tests for agrochemical formulations.,2026-05-09,,Daniel AB; Latorre AO; Grivel A; Vaccari C; Reinke EN; Baldassari J; Silva JPE; Henriquez J; Pradela JM; Romeo L; Daniel MO; Alencar da Silva MA; Ogasawara M; Boff M; Dias NMM; Oyetade OB; van der Kamp S; Stinchcombe S; Kolle SN; LaPratt T; Perjessy G,False,False,agrochemicals_alternatives,"(""agrochemicals"" AND ""alternatives"")",,,,"The Draize rabbit skin test is the primary method for assessing skin irritation potential of chemical products despite limited human relevance, reproducibility, and ethical concerns. The Organisation ...",
review,-3,europe_pmc_42514548,,42514548,10.3390/plants15142180,Mechanisms of Trichoderma-Mediated Plant Growth Promotion: From Metabolites to Plant Responses.,2026-07-16,,Jiménez Bremont JF; Santiago Velasco M; Bohórquez Quintero MLÁ; González Pérez E; Rodríguez-Kessler M,False,False,agrochemicals_alternatives,"(""agrochemicals"" AND ""alternatives"")",,,,"The transition toward sustainable agriculture has driven the use of plant growth-promoting microorganisms as viable alternatives to conventional agrochemicals. Among these, species of the genus <i>Tri...",
