review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,-1,europe_pmc_PMC12891558,PMC12891558,41548009,10.1038/s41598-026-35416-6,Young honey bees Apis mellifera learn to avoid pollen contaminated with glyphosate or imidacloprid.,2026-01-17,,Hunkeler C; Lajad R; Farina WM; Arenas A,True,False,agrochemicals_argentina,"(""agrochemicals"" AND ""argentina"")",,,exposure,"Honey bees (Apis mellifera) play a crucial role in ecosystems by providing essential pollination services, but their performance is increasingly affected by various stressors, with agrochemicals posin...",
review,-2,europe_pmc_40298996,,40298996,10.1007/s00128-025-04049-2,Lambda-Cyhalothrin Effect on the Swimming Behavior of Boana pulchella (Anura: Hylidae) Tadpoles.,2025-04-29,,Solis M; Primost J; Saralegui MP; Fanelli S; Bonetto C; Mugni H,False,False,agrochemicals_argentina,"(""agrochemicals"" AND ""argentina"")",,,"exposure, mortality",Boana pulchella is an anuran species widely distributed in Neotropical South America and commonly abundant in the Argentine Pampas. The aim of this study was to evaluate the effects of the commonly us...,
review,-2,europe_pmc_41592775,,41592775,10.1098/rspb.2025.0267,Global inequities in pesticide legislation: nearly half of pesticides approved in major crops in Latin America are not allowed in the European Union.,2026-01-01,,de Groot GS; Morales C; Aldea-Sanchez P; Aizen M; Antúnez K; Arbulo N; Basualdo M; Branchiccela B; Correa Benitez A; Gutiérrez-Gamiño EY; Herrera Salazar N; Juri P; Martinez SI; Molina GAR; Pimentel Betancurt D; Rodriguez-Fernández J; Salvarrey S; Silva-Neto CM; Vázquez DE; Bogo G,False,False,agrochemicals_argentina,"(""agrochemicals"" AND ""argentina"")",,,health,"Pesticide use is a core strategy to control agricultural pests. Although international treaties and health recommendations call for banning hazardous pesticides, globally harmonized pesticide governan...",
review,-2,europe_pmc_41951025,,41951025,10.1016/j.envres.2026.124440,Environmental quality and agrochemical exposure in honey bee colonies: a comparative case study of two contrasting agroecosystems.,2026-04-06,,Moja PJ; Macri IN; Cristos DS; Basualdo M; Farina WM,False,False,agrochemicals_argentina,"(""agrochemicals"" AND ""argentina"")",,,"exposure, health","Environmental quality associated with agricultural intensification alters the availability and nutritional quality of floral resources, with consequences for pollinator health. Here, we evaluated hone...",
review,-2,europe_pmc_PMC13074751,PMC13074751,41977743,10.3390/plants15071084,Natural Compounds for Controlling Plant Pathogens.,2026-04-01,,Dambolena JS; Usseglio VL,True,False,agrochemicals_argentina,"(""agrochemicals"" AND ""argentina"")",,,,Agricultural production systems across the world are currently facing unprecedented challenges [...].,
review,-3,europe_pmc_41570434,,41570434,10.1016/j.chroma.2026.466708,"Groundwater-adapted FMOC-LC-MS/MS for glyphosate, glufosinate and AMPA: EDTA-assisted preconditioning and application in Buenos Aires wells.",2026-01-14,,Mac Loughlin TM; Navarro M; Ramos M; Dell' Arciprete DD; Herrera Niño CF; Flores FM; Peluso ML,False,False,agrochemicals_argentina,"(""agrochemicals"" AND ""argentina"")",,,,"Glyphosate (GLY) and its main degradation product aminomethylphosphonic acid (AMPA), together with the chemically related phosphinic acid herbicide glufosinate (GLU), are widely used agrochemicals. Th...",
review,-3,europe_pmc_41818891,,41818891,10.1016/j.scitotenv.2026.181656,Epilithic biofilms as bioindicators of water contamination by pesticides in Protected Areas from Atlantic Forest.,2026-03-11,,Mollmann VHDS; Fernandes G; Santos S; Aparicio VC; Dos Santos Rheinheimer D; Bartholomei-Santos ML,False,False,agrochemicals_argentina,"(""agrochemicals"" AND ""argentina"")",,,,"Protected Areas (PAs) provide crucial refuges for biodiversity and are essential for preserving natural habitats, supporting species survival, and providing ecosystem services such as water purificati...",
review,-3,europe_pmc_42103117,,42103117,10.1016/j.ijbiomac.2026.152394,Carbohydrate-based polymeric nanotechnologies: Chitosan and chitosan-nitric oxide donor nanoparticles for sustainable agriculture.,2026-05-06,,Tortella G; Rubilar O; Benavides-Mendoza A; Juárez-Maldonado A; Fernández-Baldo M; de Oliveira RJV; Sousa FLN; Tighe-Neira R; Inostroza-Blancheteau C; Sigala-Aguilar N; López MD; Fincheira P,False,False,agrochemicals_argentina,"(""agrochemicals"" AND ""argentina"")",,,,"The shift toward sustainable agriculture requires innovative technologies that increase productivity while decreasing environmental impacts. Polymeric nanomaterials, especially chitosan-based nanopart...",
review,-3,europe_pmc_42114708,,42114708,10.1016/j.yrtph.2026.106122,Retrospective evaluation of the OECD adopted in vitro skin irritation/corrosion tests for agrochemical formulations.,2026-05-09,,Daniel AB; Latorre AO; Grivel A; Vaccari C; Reinke EN; Baldassari J; Silva JPE; Henriquez J; Pradela JM; Romeo L; Daniel MO; Alencar da Silva MA; Ogasawara M; Boff M; Dias NMM; Oyetade OB; van der Kamp S; Stinchcombe S; Kolle SN; LaPratt T; Perjessy G,False,False,agrochemicals_argentina,"(""agrochemicals"" AND ""argentina"")",,,,"The Draize rabbit skin test is the primary method for assessing skin irritation potential of chemical products despite limited human relevance, reproducibility, and ethical concerns. The Organisation ...",
review,-3,europe_pmc_42134487,,42134487,10.1016/j.tox.2026.154497,Applicability of the U-SENS™ assay for assessing skin sensitization potential of agrochemical active ingredients and formulations.,2026-05-13,,Lenze M; Benedetti MD; García MR; Pina JI; Wikinski S; Gutiérrez ML,False,False,agrochemicals_argentina,"(""agrochemicals"" AND ""argentina"")",,,,"Skin sensitization testing is essential for the regulatory classification of agrochemicals, including active ingredients (AIs) and formulations. Although several alternative methods have been develope...",
