review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,-1,europe_pmc_PMC12596878,PMC12596878,41215806,10.7717/peerj.20219,"Retrospective study on the association between paternal occupational exposure to agrochemicals and childhood leukemia in Michoacán de Ocampo, México.",2025-11-06,,Jiménez-Alcántar P; Gómez-García A; López-Meza JE; Ochoa-Zarzosa A; Espino-Barajas LA; Morales-Manilla LM; Pérez-Rivera E; Zúñiga-Quijano LY; Gutiérrez-Castellanos S,True,False,agrochemicals_classification,"(""agrochemicals"" AND ""classification"")",,,"exposure, health","<h4>Objectives</h4>The constant use of agrochemicals in avocado plantations, because of their susceptibility to pests and diseases, continuously exposes those who work or reside near these orchards to...",
review,-1,europe_pmc_PMC13149677,PMC13149677,41851115,10.1038/s41538-026-00802-x,Tracing the origins of molecular signals in food through integrative metabolomics and chemical databases.,2026-03-18,,Mendoza Cantu A; Gauglitz JM; Bittremieux W,True,False,agrochemicals_classification,"(""agrochemicals"" AND ""classification"")",,,"exposure, health","Foods contain thousands of chemical constituents beyond macronutrients, including bioactive metabolites, processing by-products, and contaminants that remain poorly characterized. The Periodic Table o...",
review,-2,europe_pmc_41499875,,41499875,10.1016/j.jhazmat.2025.141018,"BeeMSAI: A multi-dimensional evaluation strategy for honeybee toxicity in agrochemicals integrating mode of action, structural analysis, and AI-powered prediction.",2025-12-31,,He Q; Jin B; Yang Z; Li H; Xu H; Cui J; Wang Z; Lee PW; Chio EH; Shao B; Cao L; Zhang X; Zhang L,False,False,agrochemicals_classification,"(""agrochemicals"" AND ""classification"")",,,exposure,"Honeybees (Apis mellifera) play a crucial role in crop pollination; however, their population is decreasing owing to pesticide exposure. Understanding the mechanisms underlying pesticide toxicity and ...",
review,-2,europe_pmc_42362773,,42362773,10.1038/s41598-026-59051-3,"Soil pollution and health risk assessment from potentially harmful elements at various land types in the dust center of West Asia (Sistan, Iran).",2026-06-26,,Behrooz RD; Muhammad S; Garas SK; Kaskaoutis DG,False,False,agrochemicals_classification,"(""agrochemicals"" AND ""classification"")",,,"exposure, health, public health","Soil contamination by potentially harmful elements (PHEs) has become a pressing environmental concern in arid and semi-arid regions, where natural processes and human activities intensify the accumula...",
review,-2,europe_pmc_PMC13085320,PMC13085320,42006476,10.1039/d6sc01441k,"Bidirectional skeletal remodelling of SF&lt;sub&gt;5&lt;/sub&gt;-nitrobenzenes into azepine, bicyclic, and benzimidazole frameworks.",2026-03-20,,Bacho MZ; Wu S; Muramatsu T; Nagababu C; Harano D; Ochiai S; Shibata N,True,False,agrochemicals_classification,"(""agrochemicals"" AND ""classification"")",,,,The development of PFAS-free fluorinated scaffolds that preserve the desirable physicochemical attributes of perfluoroalkyl groups remains a central challenge in contemporary fluorine chemistry. Herei...,
review,-2,europe_pmc_PMC13273809,PMC13273809,42227560,10.1021/acs.chemrestox.6c00058,Classification of Thyroid Peroxidase (TPO) Inhibitors Using Transfer Learning with SMILES Embeddings.,2026-06-02,,Piir G; Sild S; Spilioti E; Nikolopoulou D; Katsanou E; Langezaal I; Maran U,True,False,agrochemicals_classification,"(""agrochemicals"" AND ""classification"")",,,,"Thyroid hormones (THs) regulate many processes in mammals and, therefore, affect every organ in the body. Thyroid peroxidase (TPO) is an essential enzyme for the successful biosynthesis of THs. Althou...",
review,-3,europe_pmc_41856429,,41856429,10.1016/j.jmb.2026.169763,PM-BioPred: A Web-Server for Prediction of Compound Bioactivity Against Plant and Microbial Proteins.,2026-03-17,,Murmu S; Chaurasia H; Sharma S; Das R; Farooqi MS; Jha GK,False,False,agrochemicals_classification,"(""agrochemicals"" AND ""classification"")",,,,"Understanding protein-ligand interactions in plants and microbes is essential for advancing agricultural biotechnology and developing antimicrobial strategies. In plants, these interactions govern cri...",
review,-3,europe_pmc_42114708,,42114708,10.1016/j.yrtph.2026.106122,Retrospective evaluation of the OECD adopted in vitro skin irritation/corrosion tests for agrochemical formulations.,2026-05-09,,Daniel AB; Latorre AO; Grivel A; Vaccari C; Reinke EN; Baldassari J; Silva JPE; Henriquez J; Pradela JM; Romeo L; Daniel MO; Alencar da Silva MA; Ogasawara M; Boff M; Dias NMM; Oyetade OB; van der Kamp S; Stinchcombe S; Kolle SN; LaPratt T; Perjessy G,False,False,agrochemicals_classification,"(""agrochemicals"" AND ""classification"")",,,,"The Draize rabbit skin test is the primary method for assessing skin irritation potential of chemical products despite limited human relevance, reproducibility, and ethical concerns. The Organisation ...",
review,-3,europe_pmc_42134487,,42134487,10.1016/j.tox.2026.154497,Applicability of the U-SENS™ assay for assessing skin sensitization potential of agrochemical active ingredients and formulations.,2026-05-13,,Lenze M; Benedetti MD; García MR; Pina JI; Wikinski S; Gutiérrez ML,False,False,agrochemicals_classification,"(""agrochemicals"" AND ""classification"")",,,,"Skin sensitization testing is essential for the regulatory classification of agrochemicals, including active ingredients (AIs) and formulations. Although several alternative methods have been develope...",
review,-3,europe_pmc_unknown,,,10.20944/preprints202607.2364.v1,Plant Extracellular Vesicles: Emerging Natural Nanocarriers for Sustainable Crop Protection,2026-07-31,,Nguyen TD; Tran TTT; Tran TM; Nguyen TT; Nguyen TH; Duong CN,False,False,agrochemicals_classification,"(""agrochemicals"" AND ""classification"")",,,,Plant-derived extracellular vesicles (P-EVs) have recently emerged as promising natural nanocarriers with considerable potential for sustainable crop protection and agricultural biotechnology. Once re...,
