review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,-1,europe_pmc_PMC11548209,PMC11548209,39519989,10.3390/plants13213055,From Flourish to Nourish: Cultivating Soil Health for Sustainable Floriculture.,2024-10-31,,Zhang P; Zhou J; He D; Yang Y; Lu Z; Yang C; Zhang D; Li F; Wang J,True,False,agrochemicals_fauna,"(""agrochemicals"" AND ""fauna"")",,,health,"Despite its rapid growth and economic success, the sustainability of the floriculture industry as it is presently conducted is debatable, due to the huge environmental impacts it initiates and incurs....",
review,-1,europe_pmc_PMC12816054,PMC12816054,41553383,10.1007/s00128-025-04157-z,"Metals and Geochemical Indexes in Sediments of a Karstic Coastal Tropical Lagoon: Evaluating the Ecological Risk in Celestun, Yucatan, Mexico.",2026-01-19,,Arcega-Cabrera F; León-Aguirre K; Lamas-Cosío E; Oceguera-Vargas I,True,False,agrochemicals_fauna,"(""agrochemicals"" AND ""fauna"")",,,health,"Celestun is one of the most socio-environmentally important lagoons in Yucatan, Mexico, although it is vulnerable to contamination from in situ activities and to contaminants transported and released ...",
review,-1,europe_pmc_PMC13148648,PMC13148648,42099577,10.1093/pnasnexus/pgag132,The root rhizosphere as a functional analog to the gut microbiome: Cases for microbial symbiosis and dysbiosis in parallel contexts.,2026-04-25,,Penton CR; Vadakattu G,True,False,agrochemicals_fauna,"(""agrochemicals"" AND ""fauna"")",,,health,Microbiomes associated with both the human gut and plant root rhizosphere are essential for the maintenance of host health and function as holobionts where both the host and microbiome operate as an i...,
review,-2,europe_pmc_41849932,,41849932,10.1016/j.jhazmat.2026.141774,Indirect ecological impacts of herbicides on soil collembolan communities through vegetation shifts.,2026-03-13,,Wee J; Lee YS; Kim Y; Hong SH; Hong J; Cho K,False,False,agrochemicals_fauna,"(""agrochemicals"" AND ""fauna"")",,,exposure,"Glyphosate-based herbicides (GBHs) are among the most extensively used agrochemicals worldwide, raising concerns about their unintended ecological hazards. While GBHs are primarily designed to elimina...",
review,-2,europe_pmc_PMC12515340,PMC12515340,41084492,10.1177/11786302251384578,Could the New Generation Mobile Base Stations Reduce the Nutritional Content of Primary Production Sector Products?,2025-10-09,,Maipas S; Kavantzas N,True,False,agrochemicals_fauna,"(""agrochemicals"" AND ""fauna"")",,,,,
review,-2,europe_pmc_PMC12917249,PMC12917249,41629577,10.1038/s41598-026-35512-7,Predictive modeling of millet growth in pesticide- and vinasse-amended soils using SHAP regression interpretation.,2026-02-02,,Frias YA; de Almeida Moreira BR; Valério TS; Dos Santos AL; Cruz VH; Pincerato GMT; Lopes PRM,True,False,agrochemicals_fauna,"(""agrochemicals"" AND ""fauna"")",,,,"Soil contamination by persistent agrochemicals such as tebuthiuron (TB) and thiamethoxam (TX), together with the use of agroindustrial by-products like vinasse (VN), affects soil-plant interactions an...",
review,-2,europe_pmc_PMC12940635,PMC12940635,,,"The Genus Apis in a Changing World: Distribution, Conservation, Climate, and Anthropogenic Stressors",2026-02-01,,,True,False,agrochemicals_fauna,"(""agrochemicals"" AND ""fauna"")",,,,,
review,-2,europe_pmc_PMC12993026,PMC12993026,41794860,10.1038/s41597-026-06970-5,A curated and integrated dataset for exploring global bee-plant interactions.,2026-03-07,,Noori S; Hughes AC; Vasconcelos TNC; Ascher JS; Miller JT; Gaugel SM; Ostwald MM; Dorey JB; Gonzalez VH; Martins AC; Orr MC; Seltmann KC,True,False,agrochemicals_fauna,"(""agrochemicals"" AND ""fauna"")",,,,"Bees are one of the most important pollinators in terrestrial ecosystems, supporting biodiversity and food production. However, global knowledge of their interactions with host plants remains limited....",
review,-3,europe_pmc_39825063,,39825063,10.1007/s11356-024-35722-4,"Benthic macroinvertebrate diversity and function in an agricultural constructed wetland affected by agrochemical pressure (Seine-et-Marne, France).",2025-01-18,,Michel A; Lebrun JD; Chaumont C; Girondin M; Tournebize J; Archaimbault V; Jeliazkov A,False,False,agrochemicals_fauna,"(""agrochemicals"" AND ""fauna"")",,,,"Constructed wetlands (CWs), originally designed to mitigate chemical water pollution, often host noticeable aquatic fauna. However, little is known about the impact of the contaminants circulating wit...",
review,-3,europe_pmc_41259975,,41259975,10.1016/j.jenvman.2025.128036,"Impacts of agricultural intensification on biodiversity: Habitat loss, agrochemical use, water depletion, and soil degradation.",2025-11-18,,Jing H; Liu Y; Hou J,False,False,agrochemicals_fauna,"(""agrochemicals"" AND ""fauna"")",,,,"Agricultural intensification has become essential for meeting global food demand, but it often comes at the cost of biodiversity. Habitat loss, agrochemical pollution, water depletion, and soil degrad...",
