review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,2,europe_pmc_37589401,,37589401,10.1002/etc.5730,"Laboratory Determination of Particulate-Matter-Bound Agrochemical Toxicity among Honeybees, Mason Bees, and Painted Lady Butterflies.",2023-09-26,,Green FB; Muñoz SR; Smith PN,False,False,agrochemicals_flora,"(""agrochemicals"" AND ""flora"")",,particulate matter,"exposure, mortality","Pollinator population declines are global phenomena with severe consequences for native flora and agriculture. Many factors have contributed to pollinator declines including habitat loss, climate chan...",
review,-1,europe_pmc_PMC11816341,PMC11816341,39943219,10.3390/ani15030449,Safeguarding Bee Health: Insights from a Collaborative Monitoring and Prevention Project Against Pesticide Poisonings.,2025-02-06,,Gasparini M; Prestini G; Rainini F; Cancemi G; De Palo S; Colombari L; Mortarino M,True,False,agrochemicals_flora,"(""agrochemicals"" AND ""flora"")",,,"exposure, mortality, health","In recent decades, bee poisoning due to pesticides and agrochemicals has increased, posing significant challenges to honey bee health and contributing to the so-called ""Colony Collapse Disorder"" (CCD)...",
review,-1,europe_pmc_PMC13169653,PMC13169653,41906108,10.1186/s13002-026-00893-6,Indigenous knowledge-based production practices and utilization of stingless bee honey in humid Afromontane Forest zones of the Southwest and Semi-Arid Forest zone of Ethiopia.,2026-03-29,,Gebreyes BG; Abro ZA; Kassie M; Tola YB; Kiatoko N,True,False,agrochemicals_flora,"(""agrochemicals"" AND ""flora"")",,,respiratory,<h4>Background</h4>This study investigated indigenous knowledge-based production practices and utilization of stingless bee honey (SBH) among rural communities in Ethiopia's humid Afromontane Forest z...,
review,-1,europe_pmc_PMC13293464,PMC13293464,42341023,10.1371/journal.pone.0350940,Pesticide-induced ecological traps and insect pollinator foraging network disruption in apple orchards compared to adjacent graveyard refugia.,2026-06-24,,Riyaz M; Nazir A; Ashraf S; Gupta RK,True,False,agrochemicals_flora,"(""agrochemicals"" AND ""flora"")",,,exposure,"Beyond acute toxicity, agricultural pesticide regimes fundamentally restructure insect foraging networks through complex, poorly understood community-level pathways. By comparing eight conventional ap...",
review,-2,europe_pmc_PMC12515340,PMC12515340,41084492,10.1177/11786302251384578,Could the New Generation Mobile Base Stations Reduce the Nutritional Content of Primary Production Sector Products?,2025-10-09,,Maipas S; Kavantzas N,True,False,agrochemicals_flora,"(""agrochemicals"" AND ""flora"")",,,,,
review,-2,europe_pmc_PMC12900620,PMC12900620,41696117,10.1002/ece3.73094,Indigenous Management Practices to Reduce Pests and Pathogens of Cash Crops in Agroforestry Systems.,2026-02-12,,Campera M; Skull J; Morton LH; Grant CA; Santos DA; Wimble D; Olthoff A; Stenger L; Bowden-Pickstock J; Setiawan IM; Maliawan IK; Sangha A; Chavez J; Garza M; Sleath-Probets J; Karageorgiadi A; Sadnyana MD; Ardhiyanto IPL; Balestri M; Jones AK; Manson S; Syirazi M; Wibowo ZA; Kuntayuni; Nijman V; Bulbert MW; Jain V; Sukmadewi DKT,True,False,agrochemicals_flora,"(""agrochemicals"" AND ""flora"")",,,,"Indigenous farming practices (e.g., traditional agroforestry) can sustain high levels of biodiversity and ecosystem services (e.g., natural pest and pathogen control) and can be sustainable in the lon...",
review,-2,europe_pmc_PMC12940635,PMC12940635,,,"The Genus Apis in a Changing World: Distribution, Conservation, Climate, and Anthropogenic Stressors",2026-02-01,,,True,False,agrochemicals_flora,"(""agrochemicals"" AND ""flora"")",,,,,
review,-2,europe_pmc_PMC13170613,PMC13170613,41764389,10.2166/wh.2026.175,Case-control study of water and agricultural exposures among women in CKDu-endemic Sri Lanka.,2026-01-30,,Contreras Nieves M; Hewapathiranage S; Zabel FQ; Mahalekam D; Yu X; Weerakoon C; Bandara M; Bandara I; Maduwantha I; Hearth D; Athauda I; Rathnayake B; Erandika N; Pushpakuamra N; Lee E; Baron K; Bhalla V; Artiles KL; Fire A; Schensul SL; Chandrajith R; Vlahos P; Montez-Rath M; Anand S; Nanayakkara N,False,False,agrochemicals_flora,"(""agrochemicals"" AND ""flora"")",,,exposure,Chronic kidney disease of unknown etiology (CKDu) disproportionately affects men in agricultural regions; few studies parse exposures among affected and unaffected women. We conducted a case-control s...,
review,-2,europe_pmc_PMC13240500,PMC13240500,42257050,10.1155/vmi/6662250,"Study on Major Diseases, Pests, and Predators of Honeybees (&lt;i&gt;Apis mellifera&lt;/i&gt; L.) in East Shewa and West Arsi Zones of Oromia, Ethiopia.",2026-05-30,,Beyene T; Woldetsadik M; Abi D; Eshetu S,True,False,agrochemicals_flora,"(""agrochemicals"" AND ""flora"")",,,,"A cross-sectional study design was conducted across agroecological zones in East Shewa and West Arsi Zones of Oromia, Ethiopia, from September 2020 to November 2021 to identify the types, prevalence, ...",
review,-2,europe_pmc_unknown,,,10.1101/2025.02.25.640077,Global distribution of honeybee gut microbiome and pesticide-driven adaptations in opportunistic microbial species,2025-02-25,,Vardazaryan N; Adunts L; Bazukyan I; Zakharyan M; Liu H; Melkonian C; Nersisyan L,False,False,agrochemicals_flora,"(""agrochemicals"" AND ""flora"")",,,"exposure, health","Honeybees (Apis mellifera) rely on a specialized gut microbiome shaped by climate, flora, agrochemicals, and dietary supplements. Yet, how these factors alter microbiome composition and function remai...",
