review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,1,europe_pmc_PMC12520942,PMC12520942,41103955,10.3389/fonc.2025.1623895,"Traditional medicine, environmental exposures, and cultural practices in cancer risk: insights from low- and middle-income countries.",2025-10-01,,Miya TV; Marima R; Marutha T; Luvhengo TE; Mkhize-Kwitshana Z; Chauke-Malinga N; Mazibuko G; Dlamini Z,True,False,laws_regulations,"(""agrochemicals"" AND ""laws and regulations"" and ""south america)",,air pollution,"exposure, health, public health","Cancer is a growing public health concern in low- and middle-income countries (LMICs), influenced by cultural practices, environmental exposures, and dependence on traditional medicine in addition to ...",
review,-1,europe_pmc_PMC11829166,PMC11829166,39953887,10.1093/heapro/daaf001,Mapping commercial practices of the pesticide industry to shape science and policymaking: a scoping review.,2025-01-01,,Schölin L; Petticrew M; Collin J; Knipe D; Barry R; Eddleston M; Gunnell D; Pearson M; van Schalkwyk MCI,True,False,laws_regulations,"(""agrochemicals"" AND ""laws and regulations"" and ""south america)",,,health,"There is a growing body of evidence for how health harming industries (HHIs) engage in similar practices to influence science and policymaking. However, limited attention has been paid to the pesticid...",
review,-1,europe_pmc_PMC12652544,PMC12652544,41302630,10.3390/ijerph22111683,Environmental and Human Health Impacts of Agricultural Pesticides on BIPOC Communities in the United States: A Review from an Environmental Justice Perspective.,2025-11-06,,Mengistie BT; Ray RL; Iyanda A,True,False,laws_regulations,"(""agrochemicals"" AND ""laws and regulations"" and ""south america)",,,"exposure, health","In recent years, public discourse on pesticide impacts has increasingly recognized institutional and structural racism as key drivers of health disparities in Black, Indigenous, and People of Color (B...",
review,-1,europe_pmc_PMC13209510,PMC13209510,42197253,10.3390/molecules31101699,Industrial and Therapeutic Applications of Hemp: A Review.,2026-05-17,,Chiririwa H,True,False,laws_regulations,"(""agrochemicals"" AND ""laws and regulations"" and ""south america)",,,"health, public health","Hemp (<i>Cannabis sativa</i> L.) is a multipurpose crop with significant industrial and therapeutic potential. This article reviews the various uses of hemp in production, building, food, cosmetics an...",
review,-1,europe_pmc_PMC13226431,PMC13226431,42129005,10.1007/s11356-026-37822-9,Addressing contaminants of emerging concern in the United States public water systems.,2026-05-13,,Siame T; Willis AB; Nyarko AJ; Karimi S; Tonade E,True,False,laws_regulations,"(""agrochemicals"" AND ""laws and regulations"" and ""south america)",,,health,"Contaminants of emerging concern (CECs) represent a growing yet inadequately governed threat to drinking water safety in the USA. Advances in analytical technologies have detected widespread, low-leve...",
review,-1,europe_pmc_PMC9854392,PMC9854392,36684910,10.3389/fpubh.2022.1015233,Commentary: Perspectives from Argentina: Children and agricultural health and safety.,2022-12-06,,Grigioni M,True,False,laws_regulations,"(""agrochemicals"" AND ""laws and regulations"" and ""south america)",,,health,,
review,-2,europe_pmc_PMC12013890,PMC12013890,40261900,10.1371/journal.pgph.0004446,Predictive sustainability in agriculture: Machine learning analysis of active ingredient restrictions and bans.,2025-04-22,,Brunini RG,True,False,laws_regulations,"(""agrochemicals"" AND ""laws and regulations"" and ""south america)",,,,"Developing active ingredients for the global market requires substantial investment, often exceeding 300 million euros. This process takes an average of 12 years from initiation to commercialization. ...",
review,-2,europe_pmc_PMC12112121,PMC12112121,40429241,10.3390/insects16050528,Insect Pest Control from Chemical to Biotechnological Approach: Constrains and Challenges.,2025-05-15,,Civolani S; Bariselli M; Osti R; Bernacchia G,True,False,laws_regulations,"(""agrochemicals"" AND ""laws and regulations"" and ""south america)",,,,"The large growth in the global population requires new solutions for the control of harmful insects that compete for our food. Changing regulatory requirements and public perception, together with the...",
review,-2,europe_pmc_PMC12485001,PMC12485001,41027924,10.1038/s41538-025-00554-0,Exploring the potentials of neglected underutilized crops (NUCs): an integrative review for developing a sustainable food system model.,2025-09-30,,Purba NH; Krishnaswamy K,True,False,laws_regulations,"(""agrochemicals"" AND ""laws and regulations"" and ""south america)",,,,"This study highlights the benefits of Neglected and Underutilized crops (NUCs) by analyzing 56 peer-reviewed publications from different geographical locations. NUCs are climate resilient, can boost y...",
review,-2,europe_pmc_PMC13210525,PMC13210525,42197684,10.3390/plants15101549,Medicinal Plants as Biopesticides Against Pests and Diseases of Maize (&lt;i&gt;Zea mays&lt;/i&gt; L.) in Africa: Ethnobotanical Insights and Challenges.,2026-05-19,,Aina FB; Buwa-Komoreng L; Heshula LUP; Mutengwa CS,True,False,laws_regulations,"(""agrochemicals"" AND ""laws and regulations"" and ""south america)",,,,"Maize (<i>Zea mays</i> L.) is a significant staple food crop in the developing world. Despite its significance, diseases and pests are limiting its supply. Farmers have primarily relied on synthetic c...",
