review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,-1,europe_pmc_PMC12961311,PMC12961311,41797903,10.1016/j.isci.2026.115001,"Evaluation of heavy metal concentration in drinking water, feed, and milk of dairy cows in Kombolcha metropolitan town, Ethiopia.",2026-02-18,,Yimer M; Bereda A; Asresie A,True,False,agrochemicals_water_reservoir,"(""agrochemicals"" AND ""water reservoirs"" and ""pollution"")",,,"respiratory, health","Cadmium (Cd), chromium (Cr), and lead (Pb) are significant industrial pollutants that contaminate soil, water, plants, and food, posing severe health hazards. Chromium, in particular, is associated wi...",
review,-1,europe_pmc_PMC13068327,PMC13068327,41941455,10.1371/journal.pntd.0014186,Household and community-based approaches to malaria and cholera prevention: A narrative review with case studies from Uganda and Mozambique.,2026-04-06,,Guido G; Totaro V; Lochoro P; Ictho J; Occa E; Chhaganlal K; Segala FV; Dall'Oglio G; Mechendura BF; Gomonda E; Putoto G; Penco F; Asaduzzaman M; Nicastri E; Farkas FB; Iatta R; Lakatos B; Ali RW; Saracino A; Di Gennaro F,True,False,agrochemicals_water_reservoir,"(""agrochemicals"" AND ""water reservoirs"" and ""pollution"")",,,health,"<h4>Background</h4>Housing conditions play a fundamental role in infectious diseases transmission, particularly in endemic regions. Structural modifications to homes-such as screened windows and doors...",
review,-1,europe_pmc_PMC13185766,PMC13185766,42164517,10.1016/j.isci.2026.115619,"Diversity and resilience of algae in phycoremediation of carbon, nitrogen, and other pollutants from inland and wastewaters.",2026-04-08,,Mathimani T; Rokhum SL; Kalaiselvan N,True,False,agrochemicals_water_reservoir,"(""agrochemicals"" AND ""water reservoirs"" and ""pollution"")",,,health,"Domestic, industrial, and agricultural wastewater contains higher concentration of pollutants, including carbon and nitrogen nutrients, heavy metals, and harmful chemicals, which significantly impact ...",
review,-2,europe_pmc_PMC10773630,PMC10773630,38183219,10.1080/15592324.2023.2298054,Editorial: plant-microbial symbiosis toward sustainable food security.,2024-01-05,,Campos-Avelar I; Montoya-Martínez AC; Parra-Cota FI; de Los Santos-Villalobos S,True,False,agrochemicals_water_reservoir,"(""agrochemicals"" AND ""water reservoirs"" and ""pollution"")",,,,The use of plant-associated microorganisms is increasingly being investigated as a key tool for mitigating the impact of biotic and abiotic threats to crops and facilitating migration to sustainable a...,
review,-2,europe_pmc_PMC11358950,PMC11358950,39204557,10.3390/polym16162337,The Role of Superabsorbent Polymers and Polymer Composites in Water Resource Treatment and Management.,2024-08-18,,Campanile A; Liguori B; Lama GC; Recupido F; Donatiello S; Gagliardi M; Morone A; Verdolotti L,True,False,agrochemicals_water_reservoir,"(""agrochemicals"" AND ""water reservoirs"" and ""pollution"")",,,,"In the last century, the issue of ""water reserves"" has become a remarkably strategic topic in modern science and technology. In this context, water resource treatment and management systems are being ...",
review,-2,europe_pmc_PMC11928473,PMC11928473,40119131,10.1038/s41598-025-94219-3,"Long-term water quality assessment and trophic status trends in Dobromierz, Lubachów and Sosnówka drinking water reservoirs in southwestern Poland.",2025-03-21,,Szewczyk M; Tomczyk P; Wiatkowski M,True,False,agrochemicals_water_reservoir,"(""agrochemicals"" AND ""water reservoirs"" and ""pollution"")",,,,"The aim of the article is to assess the water quality in three drinking water reservoirs in southwestern Poland, i.e. in Dobromierz, Lubachów and Sosnówka, taking into account two classification metho...",
review,-2,europe_pmc_PMC12183793,PMC12183793,40551843,10.1039/d5ra03035h,Employing sustainable agriculture practices using eco-friendly and advanced hydrogels.,2025-06-23,,Rodrigo L; Munaweera I,True,False,agrochemicals_water_reservoir,"(""agrochemicals"" AND ""water reservoirs"" and ""pollution"")",,,,The increasing demand for sustainable agricultural practices has intensified the development of innovative materials that enhance productivity while alleviating the risks and negative impacts on the e...,
review,-2,europe_pmc_PMC12385286,PMC12385286,40868735,10.3390/gels11080604,Fabrication of Cellulose-Based Hydrogels Through Ionizing Radiation for Environmental and Agricultural Applications.,2025-08-02,,Raza MA,True,False,agrochemicals_water_reservoir,"(""agrochemicals"" AND ""water reservoirs"" and ""pollution"")",,,,"Hydrogels exhibit remarkable physicochemical properties, including high water absorption and retention capacities, as well as controlled release behavior. Their inherent biodegradability, biocompatibi...",
review,-2,europe_pmc_PMC12909464,PMC12909464,41697504,10.1007/s10653-026-03021-1,"Assessment of spatial and seasonal variation in soil heavy metal contamination adjacent to Chini Lake, Malaysia.",2026-02-16,,Islam MS; Hassan FU; Toriman ME; Ahmad R; Bashir MA; Rehim A; Raza QU,True,False,agrochemicals_water_reservoir,"(""agrochemicals"" AND ""water reservoirs"" and ""pollution"")",,,,"Heavy metal (HMs) contamination of soil and its adverse impacts are a global concern. However, limited studies have investigated the spatial and seasonal variability of soil HMs in the Tasik Chini are...",
review,-2,europe_pmc_PMC13025618,PMC13025618,41892581,10.3390/gels12030259,"Hydrogel Development, Processing and Applications in Agriculture: A Review.",2026-03-20,,Granados-Carrera CM; Perez-Puyana VM; Jiménez-Rosado M; Romero A,True,False,agrochemicals_water_reservoir,"(""agrochemicals"" AND ""water reservoirs"" and ""pollution"")",,,,"Hydrogels have emerged as promising functional materials for improving water management and nutrient delivery in agriculture, particularly under conditions of increasing water scarcity and declining s...",
