review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,9,europe_pmc_PMC12086192,PMC12086192,40383745,10.1038/s41598-025-01361-z,Sustainable modular biofiltration system with rainshower technology for AQI reform.,2025-05-18,,Jaiswal V; Singh S; Mangal A; Singh PP,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",india,"aqi, air quality index, air pollution","cardiovascular, health","India is the tenth most polluted nation in the world, according to the World Health Organization (WHO) 2022 assessment. Approximately 1.67 million deaths are caused by lung, cardiovascular, stroke, an...",
review,9,europe_pmc_PMC12329590,PMC12329590,40777582,10.1016/j.mex.2025.103517,Explainable forecasting of air quality index using a hybrid random forest and ARIMA model.,2025-07-18,,Yenkikar A; Mishra VP; Bali M; Ara T,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",india,"aqi, air quality index","health, public health",Accurate and interpretable prediction of the Air Quality Index (AQI) is critical for public health decision-making and environmental policy enforcement. This study presents a hybrid forecasting framew...,
review,8,europe_pmc_42270759,,42270759,10.1038/s41598-026-54918-x,Regression based hybrid machine learning model performance evaluation on air quality index prediction in Kolkata.,2026-06-10,,G K ML; G MR,False,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",kolkata,"aqi, air quality index, pm2.5, pm10, particulate matter, air pollution","health, public health","Air pollution, especially elevated particulate matter concentrations, presents a substantial risk to public health and environmental sustainability in urban regions. By employing machine learning and ...",
review,8,europe_pmc_PMC12098713,PMC12098713,40404694,10.1038/s41598-025-00814-9,Assessment and forecasting of particulate matter emissions and structural health monitoring of buildings in Bangalore.,2025-05-22,,Devi LP; Chandana R; Bandhu D,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",bangalore,"aqi, air quality index, particulate matter","health, public health","Particulate Matter (PM) emissions have emerged as a critical global concern due to rapid urbanisation, increased vehicular traffic, and construction activities. These emissions not only harm human hea...",
review,8,europe_pmc_PMC12815361,PMC12815361,41561726,10.4103/ijcm.ijcm_663_24,Impact of Housing Conditions and Air Quality Awareness with Indoor PM2.5 Levels in Urban Jodhpur.,2025-11-13,,Huda RK; Gupta R; Kumar P; Singh J; Sharma AK; Toteja GS; Babu BV,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",india,"pm2.5, particulate matter, air pollution","health, public health","Indoor air pollution poses a major public health concern in India, particularly among urban populations exposed to high levels of particulate matter. This study aimed to assess the influence of housin...",
review,7,europe_pmc_40889630,,40889630,10.1016/j.envpol.2025.127051,"Association between ambient air pollution and increased risk of respiratory diseases in Vellore and Ranipet, Tamil Nadu, India: A retrospective study.",2025-08-30,,Pootheri A; Chinnaiyan P; Ashok N; Saraswathy R,False,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India","india, tamil nadu","aqi, ambient air pollution, air pollution","exposure, respiratory","Numerous studies have shown a link between short and long-term exposure to air pollution and a wide range of illnesses. Although the etiology of these illnesses has been identified, modifiable risk fa...",
review,7,europe_pmc_41863339,,41863339,10.1093/inteam/vjag046,Assessing Nexus between Human Health and Air Pollutants through Spatiotemporal Analysis of Particulate Matters.,2026-03-21,,Kumar P; Kumar P; Pratap Choudhary M,False,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India","india, indian","aqi, air quality index, pm2.5, pm10, particulate matter","exposure, mortality, cardiovascular, health","This study evaluates spatiotemporal variation of particulate pollution and associated health impacts in Jodhpur, an arid Indian city among the most polluted in the country. Data from nine monitoring s...",
review,6,europe_pmc_PMC12572900,PMC12572900,41133810,10.4274/thoracrespract.2025.2025-1-3,Effect of Ambient Air Pollutants on Acute changes in Pulmonary Variables and Inflammatory Markers in Healthy Adults: A Pilot Study.,2025-10-01,,Gupta A; Jaiswal KN; Shanmugasundaram K; Mandlecha L; Gagal S; Talwar A; Bade G,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India",india,"aqi, air quality index, pm2.5, pm10, particulate matter, ambient air pollution, air pollution","exposure, respiratory, cardiovascular, health","<h4>Objective</h4>Air pollution is associated with adverse health effects, particularly on respiratory and cardiovascular systems. Smog, prevalent in Northern India, contains particulate matter (PM10,...",
review,6,europe_pmc_PMC12995173,PMC12995173,41721668,10.4103/lungindia.lungindia_509_25,A cross-sectional study on the respiratory health status and its determinants among rural handloom workers in Tamil Nadu.,2026-02-21,,Vinoth Kumar V; Chitra A; Costantia Dovita S,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India","india, tamil nadu","pm2.5, pm10","exposure, respiratory, health","<h4>Background and objective</h4>Handloom weaving is a major rural occupation in India, often conducted in home-based settings with limited regulation and minimal protective measures. Such environment...",
review,6,europe_pmc_PMC13199542,PMC13199542,41932943,10.1038/s41598-026-40057-w,Systematic exposure bias in city-level air quality reporting revealed by 38 years of Indian observations.,2026-04-03,,Sharma G; Parmar PD; Nema AK; Gargava P; Kota SH,True,False,aqi_india_pilot,"(""air quality index"" OR AQI OR ""ambient air pollution"" OR PM2.5 OR PM10) AND India","india, indian","aqi, air quality index, particulate matter",exposure,"Accurately representing urban air quality remains a central challenge in managing global exposure and communicating environmental risk. In rapidly urbanising regions such as India, Air Quality Index (...",
