review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,0,europe_pmc_40883631,,40883631,10.1007/s11739-025-04103-1,Why internists should be concerned about glyphosate.,2025-08-29,,Di Ciaula A; Shanmugam H; Khalil M; Portincasa P,False,False,glyphosate_climate_change,"(""glyphosate"" AND ""climate change"")",,air pollution,"mortality, cardiovascular, health, public health","Environmental health should be an ethical obligation for experts in internal medicine. Besides the harmful health effects of air pollution, endocrine-disrupting chemicals and climate change, growing e...",
review,-2,europe_pmc_41812844,,41812844,10.1016/j.cbpc.2026.110508,Combined effects of environmentally relevant glyphosate concentration and elevated temperature on zebrafish embryotoxicity.,2026-03-09,,Altafin JP; de Souza AM; de Sousa Teixeira JR; de Medeiros SRB; Sanches EA; Luchiari AC,False,False,glyphosate_climate_change,"(""glyphosate"" AND ""climate change"")",,,exposure,"Climate change and chemical pollution are two major environmental stressors threatening aquatic ecosystems. Among pesticides, glyphosate is the most widely used herbicide worldwide and frequently dete...",
review,-2,europe_pmc_41932638,,41932638,10.1016/j.envres.2026.124415,Combined effects of glyphosate and ambient temperature on the energy management of a lizard: Evidence from a controlled exposure study.,2026-04-02,,Limnios A; Boratyński Z; Enriquez-Urzelai U; Pafilis P; Charles S; Simbula G; Carretero MA,False,False,glyphosate_climate_change,"(""glyphosate"" AND ""climate change"")",,,exposure,"Pesticides and climate change are significant drivers of biodiversity loss, with their interaction likely increasing their detrimental consequences. Ectotherms, such as lizards, are among the most vul...",
review,-2,europe_pmc_42092420,,42092420,10.1016/j.envpol.2026.128259,Do extreme salinity fluctuations exacerbate AMPA toxicity? Experimental evidence and hazard characterization in Mediterranean mussels.,2026-05-04,,Vivani V; Nardi A; Cunha M; d'Errico G; Benedetti M; Mezzelani M; Regoli F; Freitas R; Gorbi S,False,False,glyphosate_climate_change,"(""glyphosate"" AND ""climate change"")",,,exposure,"Climate change may exacerbate extreme weather events, leading to severe salinity fluctuations in coastal waters and enhancing the mobility of land-based pollutants such as aminomethylphosphonic acid (...",
review,-2,europe_pmc_PMC12721089,PMC12721089,41411675,10.1080/21645698.2025.2594217,Glyphosate use in agricultural production: it's contribution to global carbon dioxide emissions.,2025-12-18,,Brookes G,True,False,glyphosate_climate_change,"(""glyphosate"" AND ""climate change"")",,,,"This paper estimates the annual global carbon dioxide equivalent (CO2e) emissions from the manufacture, distribution and farm level use of glyphosate and estimates the annual contribution of glyphosat...",
review,-2,europe_pmc_PMC12825154,PMC12825154,41489298,10.1021/acs.est.5c12521,"Insights from Life Cycle Assessment to Inform Chemical Substitution, Alternatives Assessment and Safe and Sustainable-by-Design.",2026-01-05,,Fantke P; Mankong P,True,False,glyphosate_climate_change,"(""glyphosate"" AND ""climate change"")",,,,Designing chemicals and pharmaceuticals with optimal properties yet minimal negative effects on humans and the environment remains challenging. Chemical substitution enables us to address this challen...,
review,-2,europe_pmc_PMC13124949,PMC13124949,42050065,10.1007/s00128-026-04241-y,Spatial Distribution of Sediment Pesticides Concentrations in Streams of the Maritime Region of Canada.,2026-04-29,,Lalonde BA,True,False,glyphosate_climate_change,"(""glyphosate"" AND ""climate change"")",,,,This study measured pesticide concentrations at 51 sites in streams in three maritime provinces of Canada in 2020–2021. There were 50 pesticides analysed in each sediment samples. Most of those pestic...,
review,-3,europe_pmc_40398173,,40398173,10.1016/j.scitotenv.2025.179682,"The effect of climate change on glyphosate control of Avena fatua, Brassica napus, and Echinochloa crus-galli.",2025-05-21,,Bitarafan Z; Mageroy MH; de Andrade Moral R; Salehan N; Nielsen KS; Andreasen C,False,False,glyphosate_climate_change,"(""glyphosate"" AND ""climate change"")",,,,"Atmospheric CO<sub>2</sub> concentrations and temperatures have significantly increased, accompanied by substantial changes in precipitation patterns. These changes are anticipated to intensify in the...",
review,-3,europe_pmc_41480853,,41480853,10.1242/jeb.250493,"Acute and chronic sublethal chemical pollution affects activity, learning and memory in mosquito larvae.",2026-01-02,,Dessart M; Lazzari CR; Guerrieri FJ,False,False,glyphosate_climate_change,"(""glyphosate"" AND ""climate change"")",,,,"Freshwater ecosystems play a critical role in supporting biodiversity and providing essential environmental services. However, these ecosystems are increasingly threatened by human activities, includi...",
review,-3,europe_pmc_unknown,,,,"The effect of climate change on glyphosate control of Avena fatua, Brassica napus, and Echinochloa crus-galli",2025-06-01,,Bitarafan Z; Mageroy MH; de Andrade Moral R; Salehan N; Nielsen KS; Andreasen C,False,False,glyphosate_climate_change,"(""glyphosate"" AND ""climate change"")",,,,"Atmospheric CO₂ concentrations and temperatures have significantly increased, accompanied by substantial changes in precipitation patterns. These changes are anticipated to intensify in the future. In...",
