review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,-2,europe_pmc_42297896,,42297896,10.1038/s41370-026-00902-6,Glyphosate exposure and hormonal disruption in pregnancy: evidence from a birth cohort in Puerto Rico.,2026-06-15,,Valentín-Cortés MA; Cathey AL; Jenkins HM; Fernandez J; Pabón ZR; Vélez Vega CM; Cordero JF; Alshawabkeh A; Watkins DJ; Meeker JD,False,False,glyphosate_health,"(""glyphosate"" AND ""health"")",,,"exposure, health, public health","<h4>Background</h4>Glyphosate and its primary metabolite, aminomethylphosphonic acid (AMPA), are widespread environmental contaminants with potential endocrine-disrupting properties. Despite near-univ...",
review,-2,europe_pmc_42380611,,42380611,10.1038/s41380-026-03693-2,Towards ecological psychiatry: The herbicide glyphosate disrupts behavior through microbiota-gut-brain axis.,2026-06-30,,Matsuzaki R; Valderrama B; Tofani GSS; Cagun SC; Fitzgerald P; Clarke G; Gunnigle E; Cryan JF,False,False,glyphosate_health,"(""glyphosate"" AND ""health"")",,,"exposure, health",Planetary and human health including mental health are closely interrelated. Increasing evidence also points to a role for the microbiota-gut-brain axis in maintaining optimum mental health. Emerging ...,
review,-2,europe_pmc_42384617,,42384617,10.1093/etojnl/vgag142,Domestic dog exposure to glyphosate in Australia.,2026-07-01,,Liu SO; Campbell G; Kanemitsu K; Thomas KV; Kaserzon SL,False,False,glyphosate_health,"(""glyphosate"" AND ""health"")",,,"exposure, health","Glyphosate is one of the most widely used herbicides globally, raising concerns about the risks associated with chronic exposure. While human biomonitoring studies have consistently detected glyphosat...",
review,-2,europe_pmc_42398010,,42398010,10.2478/aiht-2026-77-4101,Glyphosate internal dose estimation: comparing passive dosimetry and biomonitoring in simulated heavy residential herbicide application.,2026-06-30,,Kougias DG; Sun R; Unice KM; Miller EW; Pierce J; Kovochich M,False,False,glyphosate_health,"(""glyphosate"" AND ""health"")",,,"exposure, health",Glyphosate exposure is commonly assessed using either passive dosimetry or biomonitoring. This study tests the hypothesis that internal dose estimates derived from passive dosimetry are higher and mor...,
review,-2,europe_pmc_42402262,,42402262,10.1016/j.etap.2026.105094,Glyphosate-based herbicides induce oxidative stress: Insights from human biomarker and in vitro mutagenic studies.,2026-07-05,,Yubolphan R; Kantisin S; Satayavivad J; Essigmann JM; Fedeles BI; Konguthaithip G; Tajai P,False,False,glyphosate_health,"(""glyphosate"" AND ""health"")",,,"exposure, health",Glyphosate-based herbicides (GBHs) are widely used and raise concerns about human health risks due to the detection of glyphosate (GLY) in body fluids. Their toxicity remains the subject of ongoing de...,
review,-2,europe_pmc_42448271,,42448271,10.1016/j.envpol.2026.128775,Associations of Glyphosate Exposure in Pregnancy with Preterm Birth: a Longitudinal Birth Cohort Study.,2026-07-14,,Herrera T; Fragoman F; Ghassabian A; Cowell W; Cajachagua Torres KN; Ard N; Kannan K; Li Z; Mehta-Lee S; Liu M; Burris HH; Trasande L,False,False,glyphosate_health,"(""glyphosate"" AND ""health"")",,,"exposure, health","<h4>Background</h4>Emerging data suggests that glyphosate, a non-selective herbicide, can influence reproductive health. We investigated associations of prenatal exposure to glyphosate and aminomethyl...",
review,-2,europe_pmc_42456257,,42456257,10.1016/j.talanta.2026.130308,A ratiometric fluorescence sensor based on integrated bimetallic Zr/Eu-MOF for rapid and visual detection of glyphosate.,2026-07-15,,Shi H; Wang W; Shi H; Mao L; Zhang L; Zhu L; Wu C; Liu X,False,False,glyphosate_health,"(""glyphosate"" AND ""health"")",,,health,"The widespread use of glyphosate in agriculture has raised concerns about environmental contamination and associated health risks, creating an urgent need for rapid, sensitive, and field-deployable an...",
review,-2,europe_pmc_42491741,,42491741,10.5334/aogh.5345,Multiple Pesticides and their Mixtures Tested for Genotoxicity in the Micronucleus Assays on Intestinal Caco-2 Cells.,2026-07-17,,Truzzi F; Tibaldi E; Noferini R; Sgargi D; Panzacchi S; Nardali G; Lorenzini A; Dilloo S; D'Amen E; Gnudi F; Dinelli G; Scheepers PTJ; Mandrioli D,False,False,glyphosate_health,"(""glyphosate"" AND ""health"")",,,"exposure, health","<i>Background:</i> Widespread exposure to multiple pesticides might potentially represent a genotoxic risk to humans. However, the effects of these mixtures are largely unknown. Genotoxicity is a key ...",
review,-2,europe_pmc_unknown,,,10.21203/rs.3.rs-10060520/v1,Multi-generational exposure to glyphosate and glyphosate-based herbicides induces neurobehavioral alterations in Sprague-Dawley rats,2026-07-14,,Menghetti I; Thiara I; Panzacchi S; Falcioni L; Giovannini R; Iuliani M; Manservigi M; Nanni S; Sgargi D; Strollo V; Perry M; Landrigan PJ; Smith D; Mandrioli D,False,False,glyphosate_health,"(""glyphosate"" AND ""health"")",,,"exposure, health","<title>Abstract</title>  <p>Environmental and occupational glyphosate exposure is associated with a variety of adverse health and neurobehavioral effects in children and adults, such as anxiety and au...",
review,-2,europe_pmc_unknown,,,10.64898/2026.07.07.736979,Cytotoxicity of Pelargonic Acid and Its Commercial Formulation Roundup NL (Glyphosate-Free Roundup),2026-07-11,,Ferguson S; Mesnage R; Antoniou MN,False,False,glyphosate_health,"(""glyphosate"" AND ""health"")",,,"exposure, health",<h4>ABSTRACT</h4>  Evidence of negative health and environmental effects of glyphosate-based herbicides (GBHs) has led to marketing of glyphosate-free formulations. A frequent glyphosate replacement i...,
