review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,1,europe_pmc_PMC12077487,PMC12077487,40367153,10.1126/sciadv.ads4360,Global disparities in indoor wildfire-PM&lt;sub&gt;2.5&lt;/sub&gt; exposure and mitigation costs.,2025-05-14,,Han D; Guo Y; Wang J; Zhao B,True,False,polluted_natural_resources_south_america,"(""pollution"" AND ""natural resources"" AND ""south america"")",,air pollution,"exposure, health","Wildfires have become more frequent and severe, and evidence showed that exposure to wildfire-caused PM<sub>2.5</sub> (fire-PM<sub>2.5</sub>) is associated with adverse health effects. Fire-PM<sub>2.5...",
review,-1,europe_pmc_PMC11928842,PMC11928842,40124505,10.1016/j.isci.2025.112066,Global prediction of agricultural soil antibiotic susceptibility and safe boundary for biota.,2025-02-20,,Zhao F; Yang L; Huang Y; Yen H; Huang Y; Feng Q; Sun L; Li M; Chen L,True,False,polluted_natural_resources_south_america,"(""pollution"" AND ""natural resources"" AND ""south america"")",,,health,"Pervasive anthropogenic activities release substantial quantities of antibiotics into soils, damaging soil organisms, introducing antibiotic resistance, and thus jeopardizing the safe boundaries for b...",
review,-1,europe_pmc_PMC12915598,PMC12915598,41706856,10.1126/sciadv.adx8813,Increasing synchronicity of global extreme fire weather.,2026-02-18,,Yin C; Abatzoglou JT; Jones MW; Cullen AC; Sadegh M; Wang J; Liu Y,True,False,polluted_natural_resources_south_america,"(""pollution"" AND ""natural resources"" AND ""south america"")",,,health,"Concurrent extreme fire weather creates favorable conditions for widespread large fires, which can complicate the coordination of fire suppression resources and degrade regional air quality. Here, we ...",
review,-1,europe_pmc_PMC13226431,PMC13226431,42129005,10.1007/s11356-026-37822-9,Addressing contaminants of emerging concern in the United States public water systems.,2026-05-13,,Siame T; Willis AB; Nyarko AJ; Karimi S; Tonade E,True,False,polluted_natural_resources_south_america,"(""pollution"" AND ""natural resources"" AND ""south america"")",,,health,"Contaminants of emerging concern (CECs) represent a growing yet inadequately governed threat to drinking water safety in the USA. Advances in analytical technologies have detected widespread, low-leve...",
review,-2,europe_pmc_40516269,,40516269,10.1016/j.jenvman.2025.126190,Brazil on fire: Igniting awareness of the 2024 wildfire crisis.,2025-06-13,,Béllo Carvalho R; Oliveras Menor I; Schmidt IB; Berlinck CN; Genes L; Dirzo R,False,False,polluted_natural_resources_south_america,"(""pollution"" AND ""natural resources"" AND ""south america"")",,,"health, public health","In 2024, South America faced an unprecedented wildfire crisis, with Brazil among the hardest-hit countries. Home to globally significant biomes like the Amazon, Pantanal, Cerrado, and Atlantic Forest,...",
review,-2,europe_pmc_PMC13203566,PMC13203566,42187709,10.3390/biology15100747,Multiscale Mechanisms Underlying the Invasion Success of &lt;i&gt;Pomacea canaliculata&lt;/i&gt;: A Review.,2026-05-08,,Bi X; Ren Y; Kuang X; Zhang M; Zhao Z; Zhu T; Chen G,True,False,polluted_natural_resources_south_america,"(""pollution"" AND ""natural resources"" AND ""south america"")",,,,"<i>Pomacea canaliculata</i>, listed among the world's 100 worst invasive alien species, poses serious threats to rice production and freshwater ecosystems. This review synthesizes current research in ...",
review,-3,europe_pmc_40582148,,40582148,10.1016/j.jhazmat.2025.139100,Sweat-induced aggregation of nanoplastics with different sizes and functionalities: Implications for global and body-region variability in dermal penetration risks.,2025-06-28,,Chen K; Huang Y; Zeng Y; Lv J; Li X; Zhu H; Li Y; Liu C; Reinfelder JR; Huang W; Chen C,False,False,polluted_natural_resources_south_america,"(""pollution"" AND ""natural resources"" AND ""south america"")",,,,"Sweat-induced aggregation influences dermal penetration risks of nanoplastics. This study investigated the aggregation kinetics of unmodified (PS20 and PS50), amino-modified (APS50), and carboxyl-modi...",
review,-3,europe_pmc_41162145,,41162145,10.1016/bs.amb.2025.08.002,Benthic marine diversity in Southwestern Atlantic - challenges for taxonomy and conservation.,2025-10-04,,Fukuda MV; Carrerette O; Amaral ACZ; Tavares M; Nogueira JMM,False,False,polluted_natural_resources_south_america,"(""pollution"" AND ""natural resources"" AND ""south america"")",,,,"This paper examines some of the challenges facing Taxonomy and conservation of benthic marine biodiversity in the Southwestern Atlantic, an ecologically rich but understudied region spanning the conti...",
review,-3,europe_pmc_41370442,,41370442,10.1590/0001-3765202520241527,Mapping knowledge to guide conservation action: Trends in broad-snouted caiman research.,2025-12-08,,Gama GM; Passos LF; Paglia AP; Coutinho ME,False,False,polluted_natural_resources_south_america,"(""pollution"" AND ""natural resources"" AND ""south america"")",,,,"The broad-snouted caiman (Caiman latirostris) is a key species in South American wetlands with ecological, cultural, and economic importance. Despite its significance, no systematic effort has quantif...",
review,-3,europe_pmc_41849491,,41849491,10.1590/0001-3765202620240622,Fire in South America's wetlands: temporal and spatial patterns.,2026-03-16,,Goulart FF; Roque FO; Libonati R; Anderson LO; Berlinck CN; Marengo JA; Ribeiro DB; Damasceno-Junior GA; Quintero JMO; Fernandes S; Buriticá SR; Toma TSP; Ashworth L; Aguilar R; Negreiros D; Fernandes GW,False,False,polluted_natural_resources_south_america,"(""pollution"" AND ""natural resources"" AND ""south america"")",,,,"Although holding high levels of biodiversity and providing uncountable ecosystem services, wetlands remain poorly understood and protected, particularly in South America, where these ecosystems are be...",
