review_status,score,paper_id,pmcid,pmid,doi,title,publication_date,journal,authors,has_xml,has_pdf,query_name,query_string,location_terms,pollutant_terms,health_terms,abstract_snippet,review_notes
review,-2,europe_pmc_41863325,,41863325,10.1093/etojnl/vgag069,The impact of environmental pollution on dragonflies and damselflies (Odonata) and the role of climate change as an interactive stressor.,2026-08-01,,Guerra D; Blankers T; Kraak MHS; Burdfield-Steel E,False,False,pollution_biodiversity,"(""pollution"" AND ""biodiversity"")",,,mortality,"Globally, 16% of dragonfly and damselfly species (Odonata) are threatened with extinction, primarily due to the loss and degradation of freshwater habitats. These threats are exacerbated by environmen...",
review,-2,europe_pmc_42377630,,42377630,10.1007/s10661-026-15617-2,Biomonitoring of airborne trace elements using in situ and transplanted lichens around a recycling industry.,2026-06-30,,Pérez-González R; Rangel-Osornio V; Trobajo S; Alfaro-Saiz E; Fernández-Salegui AB,False,False,pollution_biodiversity,"(""pollution"" AND ""biodiversity"")",,,"health, public health","The concentrations of six metals (Al, Cr, Cu, Fe, Pb and Zn) were analysed in the lichen Evernia prunastri to evaluate the air quality in the surroundings of a tyre and Cu cable recycling industry in ...",
review,-2,europe_pmc_42462611,,42462611,10.1016/j.jhazmat.2026.142990,The role of relative humidity in the control of gaseous elemental mercury emissions: Insights from herbaria museum collections.,2026-07-13,,Manca R; Ciani F; Rimondi V; Nannoni A; Marsiaj G; Chiari M; Benvenuti M; Lastrucci L; Costagliola P,False,False,pollution_biodiversity,"(""pollution"" AND ""biodiversity"")",,,health,"Natural history collections are irreplaceable archives of global biodiversity, yet many remain affected by chemical contamination originating from historical conservation practices. Among these, mercu...",
review,-2,europe_pmc_42475956,,42475956,10.1016/j.marpolbul.2026.120090,Species-specific sensitivity to PAHs reveals widespread biodiversity impact from the 2021 oil spill in the Eastern Mediterranean.,2026-07-20,,Lapidot O; Perlin N; Biton E; Khain P; Levi Y; Alpert P; Ramon D; Stern N; Rilov G; Guy-Haim T; Lehahn Y; Paris CB; Berenshtein I,False,False,pollution_biodiversity,"(""pollution"" AND ""biodiversity"")",,,exposure,"Marine oil spills are globally widespread, posing significant threats to marine wildlife. While the spatial and temporal distribution of oil concentrations in the environment can be modeled with high ...",
review,-2,europe_pmc_42515209,,42515209,10.3390/toxics14070644,"Environmental DNA in the Ecological Risk Assessment of Water Pollution: Methods, Applications, Challenges, and Future Perspectives.",2026-07-22,,Zhang X; Gong X; Di S; Teng M,False,False,pollution_biodiversity,"(""pollution"" AND ""biodiversity"")",,,"exposure, health",Water pollution and its ecological consequences have become central concerns in watershed governance and aquatic ecosystem conservation. Conventional ecotoxicological research on water pollution has l...,
review,-2,europe_pmc_42537417,,42537417,10.1016/j.marpolbul.2026.120203,Heavy metal pollution reshapes macrofaunal biodiversity-ecosystem functioning (BEF) relationships in intertidal zones via selective functional trait modification.,2026-07-31,,Wang Q; Liang Y; Qiao H; Ma L; Liu J; Liu X,False,False,pollution_biodiversity,"(""pollution"" AND ""biodiversity"")",,,health,"Most research on the patterns and determinants of biodiversity-ecosystem functioning (BEF) relationships concentrates on terrestrial ecosystems, with marine ecosystems remaining largely understudied. ...",
review,-3,europe_pmc_42381550,,42381550,10.1002/wer.70463,"Biofilms, Bugs, and the Built Environment: Exploring Local and Landscape Drivers of Diatom and Macroinvertebrate Assemblages in Urban Stormwater Ponds.",2026-07-01,,Izma G; McIsaac D; Raby M; Yates AG; Prosser R; Rooney RC,False,False,pollution_biodiversity,"(""pollution"" AND ""biodiversity"")",,,,"Stormwater management ponds (SWPs) are engineered systems designed primarily for flood control and sediment capture in urban landscapes. Despite their intended function, these ponds are often colonize...",
review,-3,europe_pmc_42400298,,42400298,10.1111/gcb.70977,Divergence From Temperate Models: Pollution Dominance and Stochastic Assembly in a Continental Freshwater System Under Compressed Modernity.,2026-07-01,,Zhao X; Huang L; Ma Y; Xie H; Li F; Li W; Zhan A; Jiang Y; Zhao X; Chen K; Liao J; Li Z; Johnson AC; Wang S; Altermatt F; Jin X; Wu F,False,False,pollution_biodiversity,"(""pollution"" AND ""biodiversity"")",,,,"Current understanding of how multiple stressors shape freshwater biodiversity at continental scales relies heavily on evidence from postindustrial temperate regions, potentially misrepresenting the dy...",
review,-3,europe_pmc_42456626,,42456626,10.1016/j.scitotenv.2026.182033,Cyanobacteria relative biomass modulates the contrasting effects of species richness and evenness on phytoplankton resource use efficiency in a mesocosm experiment.,2026-07-14,,Qin Y; Cheng C; Sun S; Li R; Zhong M; Wang Y; Wang Y; Jian Z; Wang C; Chu Y; Chen J; Su H,False,False,pollution_biodiversity,"(""pollution"" AND ""biodiversity"")",,,,Understanding the complex relationship between biodiversity and ecosystem functioning (BEF) in freshwater ecosystems under multiple stressors remains a critical challenge. While species diversity and ...,
review,-3,europe_pmc_unknown,,,10.22541/authorea.15005618/v1,Many eyes make nature safer: Public environmental concerns and biodiversity in China,2026-07-03,,Li M; Zhang H; Yin X; Wang B; Du W,False,False,pollution_biodiversity,"(""pollution"" AND ""biodiversity"")",,,,"Against the backdrop of the accelerated decline in global biodiversity caused by anthropogenic factors, this study adopts a two-way panel fixed effect model to examine how public environmental concern...",
